xeh	xeh	string[128]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
ID	Num	PathName	FileName	EffectNum	EffectFrame_0	EffectFrame_1	EffectFrame_2	EffectFrame_3	EffectFrame_4	EffectFrame_5	EffectFrame_6	EffectFrame_7	EffectFrame_8	EffectFrame_9	
0170d020	00000002	.\CHARACTER\NPC\ANI\	ACCGSD_GUILDSTORE_000_PEACEIDLE_02_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0170d021	00000002	.\CHARACTER\NPC\ANI\	ACCGSD_GUILDSTORE_000_PEACEIDLE_02_01.ANI	0	0	0	0	0	0	0	0	0	0	0	
0170d000	00000001	.\CHARACTER\NPC\ANI\	ACCGSD_GUILDSTORE_000_PEACESTAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0180d120	00000002	.\CHARACTER\NPC\ANI\	ACCGSP_GUILDSTORE_001_PEACEIDLE_02_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0180d121	00000002	.\CHARACTER\NPC\ANI\	ACCGSP_GUILDSTORE_001_PEACEIDLE_02_01.ANI	0	0	0	0	0	0	0	0	0	0	0	
0180d100	00000001	.\CHARACTER\NPC\ANI\	ACCGSP_GUILDSTORE_001_PEACESTAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0150d020	00000002	.\CHARACTER\NPC\ANI\	BELLAGSD_GUILDSTORE_000_PEACEIDLE_02_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0150d021	00000002	.\CHARACTER\NPC\ANI\	BELLAGSD_GUILDSTORE_000_PEACEIDLE_02_01.ANI	0	0	0	0	0	0	0	0	0	0	0	
0150d000	00000001	.\CHARACTER\NPC\ANI\	BELLAGSD_GUILDSTORE_000_PEACESTAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0160d120	00000002	.\CHARACTER\NPC\ANI\	BELLAGSP_GUILDSTORE_001_PEACEIDLE_02_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0160d121	00000002	.\CHARACTER\NPC\ANI\	BELLAGSP_GUILDSTORE_001_PEACEIDLE_02_01.ANI	0	0	0	0	0	0	0	0	0	0	0	
0160d100	00000001	.\CHARACTER\NPC\ANI\	BELLAGSP_GUILDSTORE_001_PEACESTAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0190d020	00000002	.\CHARACTER\NPC\ANI\	CORAGSD_GUILDSTORE_000_PEACEIDLE_02_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0190d021	00000002	.\CHARACTER\NPC\ANI\	CORAGSD_GUILDSTORE_000_PEACEIDLE_02_01.ANI	0	0	0	0	0	0	0	0	0	0	0	
0190d000	00000001	.\CHARACTER\NPC\ANI\	CORAGSD_GUILDSTORE_000_PEACESTAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
01a0d120	00000002	.\CHARACTER\NPC\ANI\	CORAGSP_GUILDSTORE_001_PEACEIDLE_02_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
01a0d121	00000002	.\CHARACTER\NPC\ANI\	CORAGSP_GUILDSTORE_001_PEACEIDLE_02_01.ANI	0	0	0	0	0	0	0	0	0	0	0	
01a0d100	00000001	.\CHARACTER\NPC\ANI\	CORAGSP_GUILDSTORE_001_PEACESTAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00f11020	00000005	.\CHARACTER\NPC\ANI\	DUNGEON01_GUARD_000_PEACEIDLE_05_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00f11021	00000005	.\CHARACTER\NPC\ANI\	DUNGEON01_GUARD_000_PEACEIDLE_05_01.ANI	0	0	0	0	0	0	0	0	0	0	0	
00f11022	00000005	.\CHARACTER\NPC\ANI\	DUNGEON01_GUARD_000_PEACEIDLE_05_02.ANI	0	0	0	0	0	0	0	0	0	0	0	
00f11023	00000005	.\CHARACTER\NPC\ANI\	DUNGEON01_GUARD_000_PEACEIDLE_05_03.ANI	0	0	0	0	0	0	0	0	0	0	0	
00f11024	00000005	.\CHARACTER\NPC\ANI\	DUNGEON01_GUARD_000_PEACEIDLE_05_04.ANI	0	0	0	0	0	0	0	0	0	0	0	
00f11000	00000001	.\CHARACTER\NPC\ANI\	DUNGEON01_GUARD_000_PEACESTAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00f11120	00000004	.\CHARACTER\NPC\ANI\	DUNGEON01_GUARD_001_PEACEIDLE_04_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00f11121	00000004	.\CHARACTER\NPC\ANI\	DUNGEON01_GUARD_001_PEACEIDLE_04_01.ANI	0	0	0	0	0	0	0	0	0	0	0	
00f11122	00000004	.\CHARACTER\NPC\ANI\	DUNGEON01_GUARD_001_PEACEIDLE_04_02.ANI	0	0	0	0	0	0	0	0	0	0	0	
00f11123	00000004	.\CHARACTER\NPC\ANI\	DUNGEON01_GUARD_001_PEACEIDLE_04_03.ANI	0	0	0	0	0	0	0	0	0	0	0	
00f11124	00000004	.\CHARACTER\NPC\ANI\	DUNGEON01_GUARD_001_PEACEIDLE_04_04.ANI	0	0	0	0	0	0	0	0	0	0	0	
00f11100	00000001	.\CHARACTER\NPC\ANI\	DUNGEON01_GUARD_001_PEACESTAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
01313020	00000002	.\CHARACTER\NPC\ANI\	ELAN_EVENTNPC_000_PEACEIDLE_02_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
01313021	00000002	.\CHARACTER\NPC\ANI\	ELAN_EVENTNPC_000_PEACEIDLE_02_01.ANI	0	0	0	0	0	0	0	0	0	0	0	
