xeh	string[128]	string[64]	string[64]	END
ID	PathName	FileName	BBoxName	
000170d0	.\CHARACTER\NPC\BONE\	ACCGSD_GUILDSTORE_000.BN	ACCGSD_GUILDSTORE_000.BBX	
000180d1	.\CHARACTER\NPC\BONE\	ACCGSP_GUILDSTORE_001.BN	ACCGSP_GUILDSTORE_001.BBX	
000150d0	.\CHARACTER\NPC\BONE\	BELLAGSD_GUILDSTORE_000.BN	BELLAGSD_GUILDSTORE_000.BBX	
000160d1	.\CHARACTER\NPC\BONE\	BELLAGSP_GUILDSTORE_001.BN	BELLAGSP_GUILDSTORE_001.BBX	
000190d0	.\CHARACTER\NPC\BONE\	CORAGSD_GUILDSTORE_000.BN	CORAGSD_GUILDSTORE_000.BBX	
0001a0d1	.\CHARACTER\NPC\BONE\	CORAGSP_GUILDSTORE_001.BN	CORAGSP_GUILDSTORE_001.BBX	
0000f110	.\CHARACTER\NPC\BONE\	DUNGEON01_GUARD_000.BN	DUNGEON01_GUARD_000.BBX	
0000f111	.\CHARACTER\NPC\BONE\	DUNGEON01_GUARD_001.BN	DUNGEON01_GUARD_001.BBX	
00013130	.\CHARACTER\NPC\BONE\	ELAN_EVENTNPC_000.BN	ELAN_EVENTNPC_000.BBX	
00013060	.\CHARACTER\NPC\BONE\	ELAN_LOOT_000.BN	ELAN_LOOT_000.BBX	
00013061	.\CHARACTER\NPC\BONE\	ELAN_LOOT_001.BN	ELAN_LOOT_001.BBX	
00013160	.\CHARACTER\NPC\BONE\	ELAN_PORTAL_000.BN	ELAN_PORTAL_000.BBX	
000131a0	.\CHARACTER\NPC\BONE\	ELAN_QUEST_000.BN	ELAN_QUEST_000.BBX	
000131a1	.\CHARACTER\NPC\BONE\	ELAN_QUEST_001.BN	ELAN_QUEST_001.BBX	
000131a2	.\CHARACTER\NPC\BONE\	ELAN_QUEST_002.BN	ELAN_QUEST_002.BBX	
000131a3	.\CHARACTER\NPC\BONE\	ELAN_QUEST_003.BN	ELAN_QUEST_003.BBX	
000131a4	.\CHARACTER\NPC\BONE\	ELAN_QUEST_004.BN	ELAN_QUEST_004.BBX	
000131a5	.\CHARACTER\NPC\BONE\	ELAN_QUEST_005.BN	ELAN_QUEST_005.BBX	
000131a6	.\CHARACTER\NPC\BONE\	ELAN_QUEST_006.BN	ELAN_QUEST_006.BBX	
000131a7	.\CHARACTER\NPC\BONE\	ELAN_QUEST_007.BN	ELAN_QUEST_007.BBX	
000131a8	.\CHARACTER\NPC\BONE\	ELAN_QUEST_008.BN	ELAN_QUEST_008.BBX	
0001e060	.\CHARACTER\NPC\BONE\	EXILE_LOOT_000.BN	EXILE_LOOT_000.BBX	
0001e1a0	.\CHARACTER\NPC\BONE\	EXILE_QUEST_000.BN	EXILE_QUEST_000.BBX	
0001e1a1	.\CHARACTER\NPC\BONE\	EXILE_QUEST_001.BN	EXILE_QUEST_001.BBX	
0001e1a2	.\CHARACTER\NPC\BONE\	EXILE_QUEST_002.BN	EXILE_QUEST_002.BBX	
0001e1a3	.\CHARACTER\NPC\BONE\	EXILE_QUEST_003.BN	EXILE_QUEST_003.BBX	
0001e1a4	.\CHARACTER\NPC\BONE\	EXILE_QUEST_004.BN	EXILE_QUEST_004.BBX	
0001e030	.\CHARACTER\NPC\BONE\	EXILE_SPECIAL_000.BN	EXILE_SPECIAL_000.BBX	
0001e031	.\CHARACTER\NPC\BONE\	EXILE_SPECIAL_001.BN	EXILE_SPECIAL_001.BBX	
0001e032	.\CHARACTER\NPC\BONE\	EXILE_SPECIAL_002.BN	EXILE_SPECIAL_002.BBX	
000211a0	.\CHARACTER\NPC\BONE\	MEDICALLAB_QUEST_000.BN	MEDICALLAB_QUEST_000.BBX	
