xeh	xeh	string[128]	string[64]	string[128]	END
ID	BoneID	PathName	FileName	TexutrePath	
000170d0	000170d0	.\CHARACTER\NPC\MESH\	ACCGSD_GUILDSTORE_000.MSH	.\CHARACTER\NPC\TEX\	
000180d1	000180d1	.\CHARACTER\NPC\MESH\	ACCGSP_GUILDSTORE_001.MSH	.\CHARACTER\NPC\TEX\	
000150d0	000150d0	.\CHARACTER\NPC\MESH\	BELLAGSD_GUILDSTORE_000.MSH	.\CHARACTER\NPC\TEX\	
000160d1	000160d1	.\CHARACTER\NPC\MESH\	BELLAGSP_GUILDSTORE_001.MSH	.\CHARACTER\NPC\TEX\	
000190d0	000190d0	.\CHARACTER\NPC\MESH\	CORAGSD_GUILDSTORE_000.MSH	.\CHARACTER\NPC\TEX\	
0001a0d1	0001a0d1	.\CHARACTER\NPC\MESH\	CORAGSP_GUILDSTORE_001.MSH	.\CHARACTER\NPC\TEX\	
0000f110	0000f110	.\CHARACTER\NPC\MESH\	DUNGEON01_GUARD_000.MSH	.\CHARACTER\NPC\TEX\	
0000f111	0000f111	.\CHARACTER\NPC\MESH\	DUNGEON01_GUARD_001.MSH	.\CHARACTER\NPC\TEX\	
00013130	00013130	.\CHARACTER\NPC\MESH\	ELAN_EVENTNPC_000.MSH	.\CHARACTER\NPC\TEX\	
00013060	00013060	.\CHARACTER\NPC\MESH\	ELAN_LOOT_000.MSH	.\CHARACTER\NPC\TEX\	
00013061	00013061	.\CHARACTER\NPC\MESH\	ELAN_LOOT_001.MSH	.\CHARACTER\NPC\TEX\	
00013160	00013160	.\CHARACTER\NPC\MESH\	ELAN_PORTAL_000.MSH	.\CHARACTER\NPC\TEX\	
000131a0	000131a0	.\CHARACTER\NPC\MESH\	ELAN_QUEST_000.MSH	.\CHARACTER\NPC\TEX\	
000131a1	000131a1	.\CHARACTER\NPC\MESH\	ELAN_QUEST_001.MSH	.\CHARACTER\NPC\TEX\	
000131a2	000131a2	.\CHARACTER\NPC\MESH\	ELAN_QUEST_002.MSH	.\CHARACTER\NPC\TEX\	
000131a3	000131a3	.\CHARACTER\NPC\MESH\	ELAN_QUEST_003.MSH	.\CHARACTER\NPC\TEX\	
000131a4	000131a4	.\CHARACTER\NPC\MESH\	ELAN_QUEST_004.MSH	.\CHARACTER\NPC\TEX\	
000131a5	000131a5	.\CHARACTER\NPC\MESH\	ELAN_QUEST_005.MSH	.\CHARACTER\NPC\TEX\	
000131a6	000131a6	.\CHARACTER\NPC\MESH\	ELAN_QUEST_006.MSH	.\CHARACTER\NPC\TEX\	
000131a7	000131a7	.\CHARACTER\NPC\MESH\	ELAN_QUEST_007.MSH	.\CHARACTER\NPC\TEX\	
0001e060	0001e060	.\CHARACTER\NPC\MESH\	EXILE_LOOT_000.MSH	.\CHARACTER\NPC\TEX\	
0001e030	0001e030	.\CHARACTER\NPC\MESH\	EXILE_SPECIAL_000.MSH	.\CHARACTER\NPC\TEX\	
0001e031	0001e031	.\CHARACTER\NPC\MESH\	EXILE_SPECIAL_001.MSH	.\CHARACTER\NPC\TEX\	
0001e032	0001e032	.\CHARACTER\NPC\MESH\	EXILE_SPECIAL_002.MSH	.\CHARACTER\NPC\TEX\	
000211a0	000211a0	.\CHARACTER\NPC\MESH\	MEDICALLAB_QUEST_000.MSH	.\CHARACTER\NPC\TEX\	
000211a1	000211a1	.\CHARACTER\NPC\MESH\	MEDICALLAB_QUEST_001.MSH	.\CHARACTER\NPC\TEX\	
000211a3	000211a3	.\CHARACTER\NPC\MESH\	MEDICALLAB_QUEST_003.MSH	.\CHARACTER\NPC\TEX\	
000211a4	000211a4	.\CHARACTER\NPC\MESH\	MEDICALLAB_QUEST_004.MSH	.\CHARACTER\NPC\TEX\	
000211a5	000211a5	.\CHARACTER\NPC\MESH\	MEDICALLAB_QUEST_005.MSH	.\CHARACTER\NPC\TEX\	
000211a6	000211a6	.\CHARACTER\NPC\MESH\	MEDICALLAB_QUEST_006.MSH	.\CHARACTER\NPC\TEX\	
000211a7	000211a7	.\CHARACTER\NPC\MESH\	MEDICALLAB_QUEST_007.MSH	.\CHARACTER\NPC\TEX\	
000211a8	000211a8	.\CHARACTER\NPC\MESH\	MEDICALLAB_QUEST_008.MSH	.\CHARACTER\NPC\TEX\	
0001f1a0	0001f1a0	.\CHARACTER\NPC\MESH\	MOUNTAIN_QUEST_000.MSH	.\CHARACTER\NPC\TEX\	
0000a0a0	0000a0a0	.\CHARACTER\NPC\MESH\	NEUTRALAS1_COINEXCHANGE_000.MSH	.\CHARACTER\NPC\TEX\	
0000a060	0000a060	.\CHARACTER\NPC\MESH\	NEUTRALAS1_LOOT_000.MSH	.\CHARACTER\NPC\TEX\	
0000a050	0000a050	.\CHARACTER\NPC\MESH\	NEUTRALAS1_ORE_000.MSH	.\CHARACTER\NPC\TEX\	
0000a1a0	0000a1a0	.\CHARACTER\NPC\MESH\	NEUTRALAS1_QUEST_000.MSH	.\CHARACTER\NPC\TEX\	
0000a1a1	0000a1a1	.\CHARACTER\NPC\MESH\	NEUTRALAS1_QUEST_001.MSH	.\CHARACTER\NPC\TEX\	
0000a1a2	0000a1a2	.\CHARACTER\NPC\MESH\	NEUTRALAS1_QUEST_002.MSH	.\CHARACTER\NPC\TEX\	
0000a030	0000a030	.\CHARACTER\NPC\MESH\	NEUTRALAS1_SPECIAL_000.MSH	.\CHARACTER\NPC\TEX\	
0000a031	0000a031	.\CHARACTER\NPC\MESH\	NEUTRALAS1_SPECIAL_001.MSH	.\CHARACTER\NPC\TEX\	
0000b110	0000b110	.\CHARACTER\NPC\MESH\	NEUTRALAS2_GUARD_000.MSH	.\CHARACTER\NPC\TEX\	
0000b060	0000b060	.\CHARACTER\NPC\MESH\	NEUTRALAS2_LOOT_000.MSH	.\CHARACTER\NPC\TEX\	
0000b1a0	0000b1a0	.\CHARACTER\NPC\MESH\	NEUTRALAS2_QUEST_000.MSH	.\CHARACTER\NPC\TEX\	
0000b030	0000b030	.\CHARACTER\NPC\MESH\	NEUTRALAS2_SPECIAL_000.MSH	.\CHARACTER\NPC\TEX\	
0000b031	0000b031	.\CHARACTER\NPC\MESH\	NEUTRALAS2_SPECIAL_001.MSH	.\CHARACTER\NPC\TEX\	
000050a0	000050a0	.\CHARACTER\NPC\MESH\	NEUTRALA_COINEXCHANGE_000.MSH	.\CHARACTER\NPC\TEX\	
00005020	00005020	.\CHARACTER\NPC\MESH\	NEUTRALA_DEFENCE_000.MSH	.\CHARACTER\NPC\TEX\	
00005021	00005021	.\CHARACTER\NPC\MESH\	NEUTRALA_DEFENCE_001.MSH	.\CHARACTER\NPC\TEX\	
00005022	00005022	.\CHARACTER\NPC\MESH\	NEUTRALA_DEFENCE_002.MSH	.\CHARACTER\NPC\TEX\	
00005130	00005130	.\CHARACTER\NPC\MESH\	NEUTRALA_EVENTNPC_000.MSH	.\CHARACTER\NPC\TEX\	
00005131	00005131	.\CHARACTER\NPC\MESH\	NEUTRALA_EVENTNPC_001.MSH	.\CHARACTER\NPC\TEX\	
00005132	00005132	.\CHARACTER\NPC\MESH\	NEUTRALA_EVENTNPC_002.MSH	.\CHARACTER\NPC\TEX\	
00005133	00005133	.\CHARACTER\NPC\MESH\	NEUTRALA_EVENTNPC_003.MSH	.\CHARACTER\NPC\TEX\	
00005134	00005134	.\CHARACTER\NPC\MESH\	NEUTRALA_EVENTNPC_004.MSH	.\CHARACTER\NPC\TEX\	
00005135	00005135	.\CHARACTER\NPC\MESH\	NEUTRALA_EVENTNPC_005.MSH	.\CHARACTER\NPC\TEX\	
00005136	00005136	.\CHARACTER\NPC\MESH\	NEUTRALA_EVENTNPC_006.MSH	.\CHARACTER\NPC\TEX\	
00005170	00005170	.\CHARACTER\NPC\MESH\	NEUTRALA_EXPENSIVE_000.MSH	.\CHARACTER\NPC\TEX\	
00005171	00005171	.\CHARACTER\NPC\MESH\	NEUTRALA_EXPENSIVE_001.MSH	.\CHARACTER\NPC\TEX\	
00005172	00005172	.\CHARACTER\NPC\MESH\	NEUTRALA_EXPENSIVE_002.MSH	.\CHARACTER\NPC\TEX\	
00005173	00005173	.\CHARACTER\NPC\MESH\	NEUTRALA_EXPENSIVE_003.MSH	.\CHARACTER\NPC\TEX\	
00005174	00005174	.\CHARACTER\NPC\MESH\	NEUTRALA_EXPENSIVE_004.MSH	.\CHARACTER\NPC\TEX\	
00005175	00005175	.\CHARACTER\NPC\MESH\	NEUTRALA_EXPENSIVE_005.MSH	.\CHARACTER\NPC\TEX\	
00005176	00005176	.\CHARACTER\NPC\MESH\	NEUTRALA_EXPENSIVE_006.MSH	.\CHARACTER\NPC\TEX\	
00005177	00005177	.\CHARACTER\NPC\MESH\	NEUTRALA_EXPENSIVE_007.MSH	.\CHARACTER\NPC\TEX\	
00005178	00005178	.\CHARACTER\NPC\MESH\	NEUTRALA_EXPENSIVE_008.MSH	.\CHARACTER\NPC\TEX\	
00005179	00005179	.\CHARACTER\NPC\MESH\	NEUTRALA_EXPENSIVE_009.MSH	.\CHARACTER\NPC\TEX\	
00005140	00005140	.\CHARACTER\NPC\MESH\	NEUTRALA_GATE_000.MSH	.\CHARACTER\NPC\TEX\	
00005110	00005110	.\CHARACTER\NPC\MESH\	NEUTRALA_GUARD_000.MSH	.\CHARACTER\NPC\TEX\	
00005111	00005111	.\CHARACTER\NPC\MESH\	NEUTRALA_GUARD_001.MSH	.\CHARACTER\NPC\TEX\	
000050c0	000050c0	.\CHARACTER\NPC\MESH\	NEUTRALA_GUILDMANAGER_000.MSH	.\CHARACTER\NPC\TEX\	
00005180	00005180	.\CHARACTER\NPC\MESH\	NEUTRALA_JEWEL_000.MSH	.\CHARACTER\NPC\TEX\	
00005060	00005060	.\CHARACTER\NPC\MESH\	NEUTRALA_LOOT_000.MSH	.\CHARACTER\NPC\TEX\	
00005061	00005061	.\CHARACTER\NPC\MESH\	NEUTRALA_LOOT_001.MSH	.\CHARACTER\NPC\TEX\	
00005062	00005062	.\CHARACTER\NPC\MESH\	NEUTRALA_LOOT_002.MSH	.\CHARACTER\NPC\TEX\	
00005063	00005063	.\CHARACTER\NPC\MESH\	NEUTRALA_LOOT_003.MSH	.\CHARACTER\NPC\TEX\	
00005064	00005064	.\CHARACTER\NPC\MESH\	NEUTRALA_LOOT_004.MSH	.\CHARACTER\NPC\TEX\	
00005050	00005050	.\CHARACTER\NPC\MESH\	NEUTRALA_ORE_000.MSH	.\CHARACTER\NPC\TEX\	
00005120	00005120	.\CHARACTER\NPC\MESH\	NEUTRALA_PAYBOX_000.MSH	.\CHARACTER\NPC\TEX\	
