xeh	xeh	string[128]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
ID	Num	PathName	FileName	EffectNum	EffectFrame_0	EffectFrame_1	EffectFrame_2	EffectFrame_3	EffectFrame_4	EffectFrame_5	EffectFrame_6	EffectFrame_7	EffectFrame_8	EffectFrame_9	
04006003	00000000	.\ITEM\ARMOR\ANI\	ACCRETIA_ARMOR_CLOAK_000_ATTACK.ANI	0	0	0	0	0	0	0	0	0	0	0	
04006000	00000000	.\ITEM\ARMOR\ANI\	ACCRETIA_ARMOR_CLOAK_000_DEFAULT.ANI	0	0	0	0	0	0	0	0	0	0	0	
04006001	00000000	.\ITEM\ARMOR\ANI\	ACCRETIA_ARMOR_CLOAK_000_EQUIP.ANI	0	0	0	0	0	0	0	0	0	0	0	
04006002	00000000	.\ITEM\ARMOR\ANI\	ACCRETIA_ARMOR_CLOAK_000_UNEQUIP.ANI	0	0	0	0	0	0	0	0	0	0	0	
04006005	00000000	.\ITEM\ARMOR\ANI\	ACCRETIA_ARMOR_CLOAK_000_UNUSE.ANI	0	0	0	0	0	0	0	0	0	0	0	
04006004	00000000	.\ITEM\ARMOR\ANI\	ACCRETIA_ARMOR_CLOAK_000_USE.ANI	0	0	0	0	0	0	0	0	0	0	0	
04006013	00000000	.\ITEM\ARMOR\ANI\	ACCRETIA_ARMOR_CLOAK_001_ATTACK.ANI	0	0	0	0	0	0	0	0	0	0	0	
04006010	00000000	.\ITEM\ARMOR\ANI\	ACCRETIA_ARMOR_CLOAK_001_DEFAULT.ANI	0	0	0	0	0	0	0	0	0	0	0	
04006011	00000000	.\ITEM\ARMOR\ANI\	ACCRETIA_ARMOR_CLOAK_001_EQUIP.ANI	0	0	0	0	0	0	0	0	0	0	0	
04006012	00000000	.\ITEM\ARMOR\ANI\	ACCRETIA_ARMOR_CLOAK_001_UNEQUIP.ANI	0	0	0	0	0	0	0	0	0	0	0	
04006015	00000000	.\ITEM\ARMOR\ANI\	ACCRETIA_ARMOR_CLOAK_001_UNUSE.ANI	0	0	0	0	0	0	0	0	0	0	0	
04006014	00000000	.\ITEM\ARMOR\ANI\	ACCRETIA_ARMOR_CLOAK_001_USE.ANI	0	0	0	0	0	0	0	0	0	0	0	
01006003	00000000	.\ITEM\ARMOR\ANI\	BELFEMALE_ARMOR_CLOAK_000_ATTACK.ANI	0	0	0	0	0	0	0	0	0	0	0	
01006000	00000000	.\ITEM\ARMOR\ANI\	BELFEMALE_ARMOR_CLOAK_000_DEFAULT.ANI	0	0	0	0	0	0	0	0	0	0	0	
01006001	00000000	.\ITEM\ARMOR\ANI\	BELFEMALE_ARMOR_CLOAK_000_EQUIP.ANI	0	0	0	0	0	0	0	0	0	0	0	
01006002	00000000	.\ITEM\ARMOR\ANI\	BELFEMALE_ARMOR_CLOAK_000_UNEQUIP.ANI	0	0	0	0	0	0	0	0	0	0	0	
01006005	00000000	.\ITEM\ARMOR\ANI\	BELFEMALE_ARMOR_CLOAK_000_UNUSE.ANI	0	0	0	0	0	0	0	0	0	0	0	
01006004	00000000	.\ITEM\ARMOR\ANI\	BELFEMALE_ARMOR_CLOAK_000_USE.ANI	0	0	0	0	0	0	0	0	0	0	0	
01006013	00000000	.\ITEM\ARMOR\ANI\	BELFEMALE_ARMOR_CLOAK_001_ATTACK.ANI	0	0	0	0	0	0	0	0	0	0	0	
01006010	00000000	.\ITEM\ARMOR\ANI\	BELFEMALE_ARMOR_CLOAK_001_DEFAULT.ANI	0	0	0	0	0	0	0	0	0	0	0	
01006011	00000000	.\ITEM\ARMOR\ANI\	BELFEMALE_ARMOR_CLOAK_001_EQUIP.ANI	0	0	0	0	0	0	0	0	0	0	0	
01006012	00000000	.\ITEM\ARMOR\ANI\	BELFEMALE_ARMOR_CLOAK_001_UNEQUIP.ANI	0	0	0	0	0	0	0	0	0	0	0	
01006015	00000000	.\ITEM\ARMOR\ANI\	BELFEMALE_ARMOR_CLOAK_001_UNUSE.ANI	0	0	0	0	0	0	0	0	0	0	0	
01006014	00000000	.\ITEM\ARMOR\ANI\	BELFEMALE_ARMOR_CLOAK_001_USE.ANI	0	0	0	0	0	0	0	0	0	0	0	
00006003	00000000	.\ITEM\ARMOR\ANI\	BELMALE_ARMOR_CLOAK_000_ATTACK.ANI	0	0	0	0	0	0	0	0	0	0	0	
00006000	00000000	.\ITEM\ARMOR\ANI\	BELMALE_ARMOR_CLOAK_000_DEFAULT.ANI	0	0	0	0	0	0	0	0	0	0	0	
00006001	00000000	.\ITEM\ARMOR\ANI\	BELMALE_ARMOR_CLOAK_000_EQUIP.ANI	0	0	0	0	0	0	0	0	0	0	0	
00006002	00000000	.\ITEM\ARMOR\ANI\	BELMALE_ARMOR_CLOAK_000_UNEQUIP.ANI	0	0	0	0	0	0	0	0	0	0	0	
00006005	00000000	.\ITEM\ARMOR\ANI\	BELMALE_ARMOR_CLOAK_000_UNUSE.ANI	0	0	0	0	0	0	0	0	0	0	0	
00006004	00000000	.\ITEM\ARMOR\ANI\	BELMALE_ARMOR_CLOAK_000_USE.ANI	0	0	0	0	0	0	0	0	0	0	0	
00006013	00000000	.\ITEM\ARMOR\ANI\	BELMALE_ARMOR_CLOAK_001_ATTACK.ANI	0	0	0	0	0	0	0	0	0	0	0	
