xeh	xeh	string[128]	string[64]	string[128]	END
ID	BoneID	PathName	FileName	TexutrePath	
00400600	ffffffff	.\ITEM\ARMOR\MESH\	ACCRETIA_ARMOR_CLOAK_000.MSH	.\ITEM\ARMOR\TEX\	
00400601	ffffffff	.\ITEM\ARMOR\MESH\	ACCRETIA_ARMOR_CLOAK_001.MSH	.\ITEM\ARMOR\TEX\	
00100600	ffffffff	.\ITEM\ARMOR\MESH\	BELFEMALE_ARMOR_CLOAK_000.MSH	.\ITEM\ARMOR\TEX\	
00100601	ffffffff	.\ITEM\ARMOR\MESH\	BELFEMALE_ARMOR_CLOAK_001.MSH	.\ITEM\ARMOR\TEX\	
00000600	ffffffff	.\ITEM\ARMOR\MESH\	BELMALE_ARMOR_CLOAK_000.MSH	.\ITEM\ARMOR\TEX\	
00000601	ffffffff	.\ITEM\ARMOR\MESH\	BELMALE_ARMOR_CLOAK_001.MSH	.\ITEM\ARMOR\TEX\	
00300600	ffffffff	.\ITEM\ARMOR\MESH\	CORFEMALE_ARMOR_CLOAK_000.MSH	.\ITEM\ARMOR\TEX\	
00300601	ffffffff	.\ITEM\ARMOR\MESH\	CORFEMALE_ARMOR_CLOAK_001.MSH	.\ITEM\ARMOR\TEX\	
00200600	ffffffff	.\ITEM\ARMOR\MESH\	CORMALE_ARMOR_CLOAK_000.MSH	.\ITEM\ARMOR\TEX\	
00200601	ffffffff	.\ITEM\ARMOR\MESH\	CORMALE_ARMOR_CLOAK_001.MSH	.\ITEM\ARMOR\TEX\	
00a31500	ffffffff	.\ITEM\ETC\MESH\	COM_ETC_BALL_000.MSH	.\ITEM\ETC\TEX\	
004008ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ARMOR_AMULET_255.MSH	.\ITEM\MODELITEM\TEX\	
004006ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ARMOR_CLOAK_255.MSH	.\ITEM\MODELITEM\TEX\	
004004ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ARMOR_GLOVES_255.MSH	.\ITEM\MODELITEM\TEX\	
004000ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ARMOR_HELMET_255.MSH	.\ITEM\MODELITEM\TEX\	
004003ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ARMOR_LOWER_255.MSH	.\ITEM\MODELITEM\TEX\	
004007ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ARMOR_LSHIELD_255.MSH	.\ITEM\MODELITEM\TEX\	
004009ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ARMOR_RING_255.MSH	.\ITEM\MODELITEM\TEX\	
004005ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ARMOR_SHOES_255.MSH	.\ITEM\MODELITEM\TEX\	
004002ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ARMOR_UPPER_255.MSH	.\ITEM\MODELITEM\TEX\	
004205ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_CONSUME_ADRENALINE_255.MSH	.\ITEM\MODELITEM\TEX\	
004203ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_CONSUME_BULLET_255.MSH	.\ITEM\MODELITEM\TEX\	
004206ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_CONSUME_CURE_255.MSH	.\ITEM\MODELITEM\TEX\	
004201ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_CONSUME_FP_255.MSH	.\ITEM\MODELITEM\TEX\	
004200ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_CONSUME_HP_255.MSH	.\ITEM\MODELITEM\TEX\	
004202ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_CONSUME_SP_255.MSH	.\ITEM\MODELITEM\TEX\	
00430aff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ETC_ACCRETIATOWERUNIT_255.MSH	.\ITEM\MODELITEM\TEX\	
004305ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ETC_BAG_255.MSH	.\ITEM\MODELITEM\TEX\	
00430eff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ETC_GUARDTOWERBASE_255.MSH	.\ITEM\MODELITEM\TEX\	
00430cff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ETC_TOWN_255.MSH	.\ITEM\MODELITEM\TEX\	
004312ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_ETC_UNMANNEDMINER_255.MSH	.\ITEM\MODELITEM\TEX\	
004120ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_WEAPON_GRELAUNCHER_255.MSH	.\ITEM\MODELITEM\TEX\	
00411cff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_WEAPON_MININGTOOL_255.MSH	.\ITEM\MODELITEM\TEX\	
00411fff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_WEAPON_SIEGEKITFS_255.MSH	.\ITEM\MODELITEM\TEX\	
00411eff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_WEAPON_SIEGEKITFT_255.MSH	.\ITEM\MODELITEM\TEX\	
00411dff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_WEAPON_SIEGEKITLC_255.MSH	.\ITEM\MODELITEM\TEX\	
004115ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_WEAPON_TFAUST_255.MSH	.\ITEM\MODELITEM\TEX\	
004117ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_WEAPON_TFLAMETHROWER_255.MSH	.\ITEM\MODELITEM\TEX\	
004114ff	fffffffe	.\ITEM\MODELITEM\MESH\	ACCRETIA_WEAPON_TLAUNCHER_255.MSH	.\ITEM\MODELITEM\TEX\	
009007ff	fffffffe	.\ITEM\MODELITEM\MESH\	BELCOR_ARMOR_LSHIELD_255.MSH	.\ITEM\MODELITEM\TEX\	
009403ff	fffffffe	.\ITEM\MODELITEM\MESH\	BELCOR_FORCE_AQUA_255.MSH	.\ITEM\MODELITEM\TEX\	
009402ff	fffffffe	.\ITEM\MODELITEM\MESH\	BELCOR_FORCE_FIRE_255.MSH	.\ITEM\MODELITEM\TEX\	
009404ff	fffffffe	.\ITEM\MODELITEM\MESH\	BELCOR_FORCE_TERRA_255.MSH	.\ITEM\MODELITEM\TEX\	
009405ff	fffffffe	.\ITEM\MODELITEM\MESH\	BELCOR_FORCE_WIND_255.MSH	.\ITEM\MODELITEM\TEX\	
00910cff	fffffffe	.\ITEM\MODELITEM\MESH\	BELCOR_WEAPON_RSTAFF_255.MSH	.\ITEM\MODELITEM\TEX\	
00910dff	fffffffe	.\ITEM\MODELITEM\MESH\	BELCOR_WEAPON_TSTAFF_255.MSH	.\ITEM\MODELITEM\TEX\	
007008ff	fffffffe	.\ITEM\MODELITEM\MESH\	BELLATO_ARMOR_AMULET_255.MSH	.\ITEM\MODELITEM\TEX\	
007006ff	fffffffe	.\ITEM\MODELITEM\MESH\	BELLATO_ARMOR_CLOAK_255.MSH	.\ITEM\MODELITEM\TEX\	
007004ff	fffffffe	.\ITEM\MODELITEM\MESH\	BELLATO_ARMOR_GLOVES_255.MSH	.\ITEM\MODELITEM\TEX\	
007000ff	fffffffe	.\ITEM\MODELITEM\MESH\	BELLATO_ARMOR_HELMET_255.MSH	.\ITEM\MODELITEM\TEX\	
007003ff	fffffffe	.\ITEM\MODELITEM\MESH\	BELLATO_ARMOR_LOWER_255.MSH	.\ITEM\MODELITEM\TEX\	
007009ff	fffffffe	.\ITEM\MODELITEM\MESH\	BELLATO_ARMOR_RING_255.MSH	.\ITEM\MODELITEM\TEX\	
007005ff	fffffffe	.\ITEM\MODELITEM\MESH\	BELLATO_ARMOR_SHOES_255.MSH	.\ITEM\MODELITEM\TEX\	
