xeh	xeh	string[128]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
ID	Num	PathName	FileName	EffectNum	EffectFrame_0	EffectFrame_1	EffectFrame_2	EffectFrame_3	EffectFrame_4	EffectFrame_5	EffectFrame_6	EffectFrame_7	EffectFrame_8	EffectFrame_9	
11050140	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_20_03_00.ANI	6	13	15	18	20	23	25	0	0	0	0	
11050141	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_20_03_01.ANI	6	20	23	26	29	32	35	0	0	0	0	
11050142	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_20_03_02.ANI	6	20	23	26	29	32	35	0	0	0	0	
11050150	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_21_03_00.ANI	2	10	21	0	0	0	0	0	0	0	0	
11050151	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_21_03_01.ANI	1	21	0	0	0	0	0	0	0	0	0	
11050152	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_21_03_02.ANI	1	21	0	0	0	0	0	0	0	0	0	
11050160	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_22_03_00.ANI	2	10	21	0	0	0	0	0	0	0	0	
11050161	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_22_03_01.ANI	2	20	26	0	0	0	0	0	0	0	0	
11050162	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_22_03_02.ANI	2	12	17	0	0	0	0	0	0	0	0	
110501d0	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_29_03_00.ANI	2	10	21	0	0	0	0	0	0	0	0	
110501d1	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_29_03_01.ANI	2	20	26	0	0	0	0	0	0	0	0	
110501d2	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_29_03_02.ANI	2	12	17	0	0	0	0	0	0	0	0	
11050200	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_32_03_00.ANI	2	10	21	0	0	0	0	0	0	0	0	
11050201	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_32_03_01.ANI	2	20	26	0	0	0	0	0	0	0	0	
11050202	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_32_03_02.ANI	2	12	17	0	0	0	0	0	0	0	0	
110502d0	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_45_03_00.ANI	2	10	21	0	0	0	0	0	0	0	0	
110502d1	00000003	.\CHARACTER\UNIT\ANI\	CATAPULT_COMBAT_ATTACK_ARMS_45_03_01.ANI	1	21	0	0	0	0	0	0	0	0	0	
