xeh	xeh	string[128]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
ID	Num	PathName	FileName	EffectNum	EffectFrame_0	EffectFrame_1	EffectFrame_2	EffectFrame_3	EffectFrame_4	EffectFrame_5	EffectFrame_6	EffectFrame_7	EffectFrame_8	EffectFrame_9	
4f07a030	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_CRY_RKNIFE_00.ANI	1	24	0	0	0	0	0	0	0	0	0	
4f0f4ff0	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_DREADMIND_ETC_00.ANI	1	20	0	0	0	0	0	0	0	0	0	
4ffff010	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_ETC_COMBAT_00.ANI	1	20	0	0	0	0	0	0	0	0	0	
4ffff011	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_ETC_COMBAT_01.ANI	1	20	0	0	0	0	0	0	0	0	0	
4ffff012	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_ETC_COMBAT_02.ANI	1	20	0	0	0	0	0	0	0	0	0	
4ffff000	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_ETC_PEACE_00.ANI	1	20	0	0	0	0	0	0	0	0	0	
4ffff001	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_ETC_PEACE_01.ANI	1	20	0	0	0	0	0	0	0	0	0	
4ffff002	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_ETC_PEACE_02.ANI	1	20	0	0	0	0	0	0	0	0	0	
4f0edff0	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_INVISIBLE_ETC_00.ANI	1	24	0	0	0	0	0	0	0	0	0	
4f071060	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_IRRITATE_RAXE_00.ANI	1	15	0	0	0	0	0	0	0	0	0	
4f071050	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_IRRITATE_RKNIFETHROW_00.ANI	1	15	0	0	0	0	0	0	0	0	0	
4f071030	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_IRRITATE_RKNIFE_00.ANI	1	15	0	0	0	0	0	0	0	0	0	
4f0710a0	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_IRRITATE_RMACE_00.ANI	1	15	0	0	0	0	0	0	0	0	0	
4f073090	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_MAGNETICNET_DAXE_00.ANI	1	22	0	0	0	0	0	0	0	0	0	
4f073020	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_MAGNETICNET_DSWORD_00.ANI	1	22	0	0	0	0	0	0	0	0	0	
4f073060	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_MAGNETICNET_RAXE_00.ANI	1	22	0	0	0	0	0	0	0	0	0	
4f0730a0	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_MAGNETICNET_RMACE_00.ANI	1	22	0	0	0	0	0	0	0	0	0	
4f073070	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_MAGNETICNET_TAXE_00.ANI	1	22	0	0	0	0	0	0	0	0	0	
4f0730b0	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_MAGNETICNET_TMACE_00.ANI	1	22	0	0	0	0	0	0	0	0	0	
4f0730e0	00000000	.\CHARACTER\PLAYER\ANI\	ACCRETIA_ASSISTANCE_MAGNETICNET_TSPEAR_00.ANI	1	22	0	0	0	0	0	0	0	0	0	
