xeh	xeh	string[128]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
ID	Num	PathName	FileName	EffectNum	EffectFrame_0	EffectFrame_1	EffectFrame_2	EffectFrame_3	EffectFrame_4	EffectFrame_5	EffectFrame_6	EffectFrame_7	EffectFrame_8	EffectFrame_9	
00000118	00000000	.\CHARACTER\PLAYER\ANI\	BELFEMALE_COMBAT_ASSISTANCE.ANI	1	11	0	0	0	0	0	0	0	0	0	
00000115	00000000	.\CHARACTER\PLAYER\ANI\	BELFEMALE_COMBAT_TEXTENT.ANI	1	20	0	0	0	0	0	0	0	0	0	
00000113	00000000	.\CHARACTER\PLAYER\ANI\	BELFEMALE_COMBAT_TFLASH.ANI	1	23	0	0	0	0	0	0	0	0	0	
00000111	00000000	.\CHARACTER\PLAYER\ANI\	BELFEMALE_COMBAT_TONE.ANI	1	23	0	0	0	0	0	0	0	0	0	
00000117	00000000	.\CHARACTER\PLAYER\ANI\	BELFEMALE_COMBAT_TSELF.ANI	1	27	0	0	0	0	0	0	0	0	0	
00000108	00000000	.\CHARACTER\PLAYER\ANI\	BELFEMALE_PEACE_ASSISTANCE.ANI	1	11	0	0	0	0	0	0	0	0	0	
00000018	00000000	.\CHARACTER\PLAYER\ANI\	BELMALE_COMBAT_ASSISTANCE.ANI	1	11	0	0	0	0	0	0	0	0	0	
00000015	00000000	.\CHARACTER\PLAYER\ANI\	BELMALE_COMBAT_TEXTENT.ANI	1	20	0	0	0	0	0	0	0	0	0	
00000013	00000000	.\CHARACTER\PLAYER\ANI\	BELMALE_COMBAT_TFLASH.ANI	1	23	0	0	0	0	0	0	0	0	0	
00000011	00000000	.\CHARACTER\PLAYER\ANI\	BELMALE_COMBAT_TONE.ANI	1	23	0	0	0	0	0	0	0	0	0	
00000017	00000000	.\CHARACTER\PLAYER\ANI\	BELMALE_COMBAT_TSELF.ANI	1	27	0	0	0	0	0	0	0	0	0	
00000008	00000000	.\CHARACTER\PLAYER\ANI\	BELMALE_PEACE_ASSISTANCE.ANI	1	11	0	0	0	0	0	0	0	0	0	
00000318	00000000	.\CHARACTER\PLAYER\ANI\	CORFEMALE_COMBAT_ASSISTANCE.ANI	1	18	0	0	0	0	0	0	0	0	0	
00000315	00000000	.\CHARACTER\PLAYER\ANI\	CORFEMALE_COMBAT_TEXTENT.ANI	1	23	0	0	0	0	0	0	0	0	0	
00000313	00000000	.\CHARACTER\PLAYER\ANI\	CORFEMALE_COMBAT_TFLASH.ANI	1	23	0	0	0	0	0	0	0	0	0	
00000311	00000000	.\CHARACTER\PLAYER\ANI\	CORFEMALE_COMBAT_TONE.ANI	1	23	0	0	0	0	0	0	0	0	0	
00000317	00000000	.\CHARACTER\PLAYER\ANI\	CORFEMALE_COMBAT_TSELF.ANI	1	23	0	0	0	0	0	0	0	0	0	
00000308	00000000	.\CHARACTER\PLAYER\ANI\	CORFEMALE_PEACE_ASSISTANCE.ANI	1	18	0	0	0	0	0	0	0	0	0	
00000218	00000000	.\CHARACTER\PLAYER\ANI\	CORMALE_COMBAT_ASSISTANCE.ANI	1	18	0	0	0	0	0	0	0	0	0	
00000215	00000000	.\CHARACTER\PLAYER\ANI\	CORMALE_COMBAT_TEXTENT.ANI	1	23	0	0	0	0	0	0	0	0	0	
00000213	00000000	.\CHARACTER\PLAYER\ANI\	CORMALE_COMBAT_TFLASH.ANI	1	23	0	0	0	0	0	0	0	0	0	
00000211	00000000	.\CHARACTER\PLAYER\ANI\	CORMALE_COMBAT_TONE.ANI	1	23	0	0	0	0	0	0	0	0	0	
00000217	00000000	.\CHARACTER\PLAYER\ANI\	CORMALE_COMBAT_TSELF.ANI	1	23	0	0	0	0	0	0	0	0	0	
00000208	00000000	.\CHARACTER\PLAYER\ANI\	CORMALE_PEACE_ASSISTANCE.ANI	1	18	0	0	0	0	0	0	0	0	0	
