string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	dword	float	dword	float	dword	float	dword	float	dword	float	dword	float	dword	float	dword	float	END
Code	Civil	head	upper	lower	shoes	gauntlet	weapon	shield	amul1	amul2	ring1	ring2	cloack	Rule	eff1code	eff1unit	eff2code	eff2unit	eff3code	eff3unit	eff4code	eff4unit	eff5code	eff5unit	eff6code	eff6unit	eff7code	eff7unit	eff8code	eff8unit	
setwb01	11000	ihbwc50	iubwc50	ilbwc50	isbwc50	igbwc50	-1	-1	-1	-1	iibba97	iibba97	-1	0301050306040708	7	0,200000003	7	0,200000003	6	0,200000003	34	10	34	10	6	0,100000001	7	0,100000001	5	0,100000001	
setwb02	11000	ihbwc45	iubwc45	ilbwc45	isbwc45	igbwc45	-1	-1	-1	-1	-1	-1	-1	0502	7	1,5	5	0,100000001	0	0	0	0	0	0	0	0	0	0	0	0	
setwb03	11000	ihbwd45	iubwd45	ilbwd45	isbwd45	igbwd45	-1	-1	-1	-1	-1	-1	-1	0502	7	2,5	5	0,200000003	0	0	0	0	0	0	0	0	0	0	0	0	
setwb04	11000	-1	-1	-1	-1	-1	iwkbd46	-1	-1	-1	iibhb01	iibhb01	-1	0301	30	0,100000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb05	11000	-1	-1	-1	-1	-1	iwsbd46	-1	-1	-1	iibhb02	iibhb02	-1	0301	15	0,079999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb06	11000	-1	-1	-1	-1	-1	iwkbd51	-1	-1	-1	iibhb03	iibhb03	-1	0301	30	0,200000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb07	11000	-1	-1	-1	-1	-1	iwsbd51	-1	-1	-1	iibhb04	iibhb04	-1	0301	15	0,159999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb08	11000	-1	-1	-1	-1	-1	-1	-1	iabhs01	iabhs02	iibhh01	iibhh02	-1	02010402	7	0,150000006	6	0,150000006	0	0	0	0	0	0	0	0	0	0	0	0	
setwb09	11000	-1	-1	-1	-1	-1	-1	-1	iabhs03	iabhs04	iibhh03	iibhh04	-1	02010402	7	0,200000003	6	0,200000003	0	0	0	0	0	0	0	0	0	0	0	0	
setwb10	11000	-1	-1	-1	-1	-1	-1	-1	iabhs05	iabhs05	iibhh05	iibhh05	-1	02010402	7	0,25	6	0,25	0	0	0	0	0	0	0	0	0	0	0	0	
setwb11	11000	-1	-1	-1	-1	-1	-1	-1	iabht01	iabht02	iibhg01	iibhg02	-1	02010402	34	200	6	0,100000001	0	0	0	0	0	0	0	0	0	0	0	0	
setwb12	11000	-1	-1	-1	-1	-1	-1	-1	iabht03	iabht04	iibhg03	iibhg04	-1	02010402	34	400	6	0,119999997	0	0	0	0	0	0	0	0	0	0	0	0	
setwb13	11000	-1	-1	-1	-1	-1	-1	-1	iabht05	iabht05	iibhg05	iibhg05	-1	02010402	34	600	6	0,150000006	0	0	0	0	0	0	0	0	0	0	0	0	
setwb14	11000	-1	-1	-1	-1	-1	-1	-1	iabhb01	iabhb02	iibhq01	iibhq02	-1	02010402	20	10	17	0,050000001	0	0	0	0	0	0	0	0	0	0	0	0	
setwb15	11000	-1	-1	-1	-1	-1	-1	-1	iabhb03	iabhb04	iibhq03	iibhq04	-1	02010402	20	15	17	0,059999999	0	0	0	0	0	0	0	0	0	0	0	0	
setwb16	11000	-1	-1	-1	-1	-1	-1	-1	iabhb05	iabhb05	iibhq05	iibhq05	-1	02010402	20	20	17	0,07	0	0	0	0	0	0	0	0	0	0	0	0	
setwb17	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	iibhb05	iibhb05	-1	01010202	30	0,150000006	6	0,200000003	0	0	0	0	0	0	0	0	0	0	0	0	
setwb18	11000	-1	-1	-1	-1	-1	-1	-1	iabhd01	iabhd02	-1	-1	-1	0201	6	0,050000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb19	11000	-1	-1	-1	-1	-1	-1	-1	iabhd03	iabhd04	-1	-1	-1	0201	6	0,100000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb20	11000	-1	-1	-1	-1	-1	-1	-1	iabhd05	iabhd05	-1	-1	-1	0201	6	0,150000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb21	11000	ihbcw50	iubcw50	ilbcw50	isbcw50	igbcw50	-1	-1	-1	-1	-1	-1	-1	030204040506	6	0,349999994	7	1	12	2	28	10	5	0,119999997	7	0,150000006	0	0	0	0	
setwb22	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb23	11000	ihbwc55	iubwc55	ilbwc55	isbwc55	igbwc55	-1	-1	-1	-1	iibba97	iibba97	-1	0301050306040708	7	0,200000003	7	0,200000003	6	0,200000003	34	10	34	10	6	0,100000001	7	0,100000001	5	0,100000001	
setwb24	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb25	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb26	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb27	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb28	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb29	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwb30	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc01	00110	ihcwc50	iucwc50	ilcwc50	iscwc50	igcwc50	-1	-1	iacca97	iacca97	-1	-1	-1	0301050306040708	7	0,200000003	7	0,200000003	6	0,200000003	34	10	34	10	6	0,100000001	7	0,100000001	5	0,100000001	
setwc02	00110	ihcwc45	iucwc45	ilcwc45	iscwc45	igcwc45	-1	-1	-1	-1	-1	-1	-1	0502	7	1,5	5	0,100000001	0	0	0	0	0	0	0	0	0	0	0	0	
setwc03	00110	ihcwd45	iucwd45	ilcwd45	iscwd45	igcwd45	-1	-1	-1	-1	-1	-1	-1	0502	7	2,5	5	0,200000003	0	0	0	0	0	0	0	0	0	0	0	0	
setwc04	00110	-1	-1	-1	-1	-1	iwkbd46	-1	-1	-1	iichb01	iichb01	-1	0301	30	0,100000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc05	00110	-1	-1	-1	-1	-1	iwsbd46	-1	-1	-1	iichb02	iichb02	-1	0301	15	0,079999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc06	00110	-1	-1	-1	-1	-1	iwkbd51	-1	-1	-1	iichb03	iichb03	-1	0301	30	0,200000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc07	00110	-1	-1	-1	-1	-1	iwsbd51	-1	-1	-1	iichb04	iichb04	-1	0301	15	0,159999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
