string[64]	dword	dword	dword	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	string[64]	string[64]	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	string[8]	dword	string[8]	dword	string[8]	dword	float	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	string[64]	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	dword	dword	float	float	float	float	dword	END
Code	Class	Icon	MastIndex	MastKorName	MastEngName	KorName	EngName	Lv	IsActive	IsEnable	UsableRace	ActableDst	GradeLimit	NeedMastIndex	FixWeapon	IsFixShield	SpecialType	NeedSpecialType	NeedHP	NeedFP	NeedSP	NeedItemCode1	NeedItemCount1	NeedItemCode2	NeedItemCount2	NeedItemCode3	NeedItemCount3	ActDealy	IsCumulType	CumulCounter	NewEffCOunt	EffectCode	Attackable	AttType1	AttType2	AttType3	AttType4	AttType5	AttType6	AttType7	AttConstant1	AttConstant2	AttConstant3	AttConstant4	AttConstant5	AttConstant6	AttConstant7	AttFormulaConstant	AttNeedBt	BonusDistance	RangeEffCode	TempEffectType	TempParamCode	TempValue1	TempValue2	TempValue3	TempValue4	TempValue5	TempValue6	TempValue7	ContEffectType	EffLimType	EffLimType2	ContAreaType	ContParamCode1	ContParamIndex1	ContValue1_1	ContValue1_2	ContValue1_3	ContValue1_4	ContValue1_5	ContValue1_6	ContValue1_7	ContParamCode2	ContParamIndex2	ContValue2_1	ContValue2_2	ContValue2_3	ContValue2_4	ContValue2_5	ContValue2_6	ContValue2_7	ContParamCode3	ContParamIndex3	ContValue3_1	ContValue3_2	ContValue3_3	ContValue3_4	ContValue3_5	ContValue3_6	ContValue3_7	ContParamCode4	ContParamIndex4	ContValue4_1	ContValue4_2	ContValue4_3	ContValue4_4	ContValue4_5	ContValue4_6	ContValue4_7	ContParamCode5	ContParamIndex5	ContValue5_1	ContValue5_2	ContValue5_3	ContValue5_4	ContValue5_5	ContValue5_6	ContValue5_7	ContEffSec1	ContEffSec2	ContEffSec3	ContEffSec4	ContEffSec5	ContEffSec6	ContEffSec7	Etc	1_2speed	1_2distance	2_3speed	2_3distance	EffectClass	
1	1	101	-1	-1	-1	Снижает защиту противника	0	0	1	1	000010	00110	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	6	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
2	1	102	-1	-1	-1	Уменьшает шанс критического удар	0	0	1	1	000010	00110	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	1	14	-20	-20	-20	-20	-20	-20	-20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
3	1	103	-1	-1	-1	Снижает меткость	0	0	1	1	000010	00110	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	1	0	-30	-30	-30	-30	-30	-30	-30	1	1	-30	-30	-30	-30	-30	-30	-30	1	2	-30	-30	-30	-30	-30	-30	-30	1	30	-30	-30	-30	-30	-30	-30	-30	1	31	-30	-30	-30	-30	-30	-30	-30	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
4	1	104	-1	-1	-1	Отменяет действующие положительн	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	8	1	1	1	1	1	1	1	1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
5	1	105	-1	-1	-1	Запрещает использование атакующи	0	0	1	1	000010	00110	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	2	4	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
6	1	106	-1	-1	-1	Оглушает противника на некоторое	0	0	1	1	000010	00110	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	1	0	0	0	0	0	0	0	788	788	788	788	788	788	788	1,5625	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
7	1	107	-1	-1	-1	Снижает силу атаки противника	0	0	1	1	000010	00110	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	0	0	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	0	1	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	0	2	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	0	3	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	0	4	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
8	1	108	-1	-1	-1	Блокирует восстановление SP	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	24	0	0,100000001	0,100000001	0,100000001	0,100000001	0,100000001	0,100000001	0,100000001	0	-1	-1	1	2	17	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
9	1	109	-1	-1	-1	Замедляет передвижение противник	0	0	1	1	000010	00110	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	1	20	-2	-2	-2	-2	-2	-2	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
