string[64]	dword	dword	dword	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	string[64]	string[64]	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	string[8]	dword	string[8]	dword	string[8]	dword	float	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	long	string[64]	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	dword	dword	float	float	float	float	dword	END
Code	Class	Icon	MastIndex	MastKorName	MastEngName	KorName	EngName	Lv	IsActive	IsEnable	UsableRace	ActableDst	GradeLimit	NeedMastIndex	FixWeapon	IsFixShield	SpecialType	NeedSpecialType	NeedHP	NeedFP	NeedSP	NeedItemCode1	NeedItemCount1	NeedItemCode2	NeedItemCount2	NeedItemCode3	NeedItemCount3	ActDealy	IsCumulType	CumulCounter	NewEffCOunt	EffectCode	Attackable	AttType1	AttType2	AttType3	AttType4	AttType5	AttType6	AttType7	AttConstant1	AttConstant2	AttConstant3	AttConstant4	AttConstant5	AttConstant6	AttConstant7	AttFormulaConstant	AttNeedBt	BonusDistance	RangeEffCode	TempEffectType	TempParamCode	TempValue1	TempValue2	TempValue3	TempValue4	TempValue5	TempValue6	TempValue7	ContEffectType	EffLimType	EffLimType2	ContAreaType	ContParamCode1	ContParamIndex1	ContValue1_1	ContValue1_2	ContValue1_3	ContValue1_4	ContValue1_5	ContValue1_6	ContValue1_7	ContParamCode2	ContParamIndex2	ContValue2_1	ContValue2_2	ContValue2_3	ContValue2_4	ContValue2_5	ContValue2_6	ContValue2_7	ContParamCode3	ContParamIndex3	ContValue3_1	ContValue3_2	ContValue3_3	ContValue3_4	ContValue3_5	ContValue3_6	ContValue3_7	ContParamCode4	ContParamIndex4	ContValue4_1	ContValue4_2	ContValue4_3	ContValue4_4	ContValue4_5	ContValue4_6	ContValue4_7	ContParamCode5	ContParamIndex5	ContValue5_1	ContValue5_2	ContValue5_3	ContValue5_4	ContValue5_5	ContValue5_6	ContValue5_7	ContEffSec1	ContEffSec2	ContEffSec3	ContEffSec4	ContEffSec5	ContEffSec6	ContEffSec7	Etc	1_2speed	1_2distance	2_3speed	2_3distance	EffectClass	
7F018	-1	1	9	-1	-1	Боевой клич	Howl	0	1	1	110000	10000	100000000000	-1	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	0	0	0,25	0,25	0,25	0,25	0,25	0,25	0,25	0	2	0,25	0,25	0,25	0,25	0,25	0,25	0,25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	120	120	120	120	120	120	120	0	0	0	0	0	1	
7F019	-1	0	9	-1	-1	BW1 1 2	BW1 1 2	0	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	120	120	120	120	120	120	120	0	0	0	0	0	-1	
7F01A	-1	0	9	-1	-1	BW1 1 3	BW1 1 3	0	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	120	120	120	120	120	120	120	0	0	0	0	0	-1	
7F01B	-1	2	9	-1	-1	Защита	Defend	0	1	1	110000	10000	100000000000	-1	0000000000000000	1	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	0	6	0,375	0,375	0,375	0,375	0,375	0,375	0,375	1	29	10	10	10	10	10	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	120	120	120	120	120	120	120	0	0	0	0	0	6	
7F01C	-1	3	9	-1	-1	Насмешка	Provoke	0	1	1	110000	00010	100000000000	-1	0000000000000000	1	-1	-1	0	60	90	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	80	-1	32	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	6	
7F01D	-1	0	9	-1	-1	BW1 2 3	BW1 2 3	0	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7001E	-1	4	10	-1	-1	Двойной Удар	DoubleCrash	1	1	1	110000	00110	100000000000	-1	1110100000000000	0	-1	-1	0	90	120	-1	-1	-1	-1	-1	-1	5000	0	-1	-1	-1	1	0	0	0	0	0	0	0	788	788	788	788	788	788	788	1,953125	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	11	
7F01F	-1	5	10	-1	-1	Подножка	LaboringBreath	1	1	1	110000	00110	100000000000	-1	1111100000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	60000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	1	20	-3,5	-3,5	-3,5	-3,5	-3,5	-3,5	-3,5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	30	30	30	30	30	30	0	0	0	0	0	6	
7F020	-1	121	10	-1	-1	Звериный оскал	BeastEye	1	1	1	110000	10000	100000000000	-1	1111100000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	0	0	0,150000006	0,150000006	0,150000006	0,150000006	0,150000006	0,150000006	0,150000006	0	2	0,150000006	0,150000006	0,150000006	0,150000006	0,150000006	0,150000006	0,150000006	1	3	15	15	15	15	15	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	240	240	240	240	240	240	240	0	0	0	0	0	6	
