string[64]	dword	dword	dword	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	string[64]	string[64]	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	string[8]	dword	string[8]	dword	string[8]	dword	float	dword	dword	dword	string[64]	dword	dword	dword	float	long	string[64]	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	dword	dword	END
Code	Class	Icon	MastIndex	MastKorName	MastEngName	KorName	EngName	Lv	IsActive	IsEnable	UsableRace	ActableDst	GradeLimit	NeedMastIndex	FixWeapon	IsFixShield	SpecialType	NeedSpecialType	NeedHP	NeedFP	NeedSP	NeedItemCode1	NeedItemCount1	NeedItemCode2	NeedItemCount2	NeedItemCode3	NeedItemCount3	ActDealy	IsCumulType	CumulCounter	NewEffCOunt	EffectCode	Attackable	Property	EffectGroup	AttFormulaConstant	ActDistance	RangeEffCode	TempEffectType	TempParamCode	TempValue1	TempValue2	TempValue3	TempValue4	TempValue5	TempValue6	TempValue7	ContEffectType	ContAreaType	ContParamCode1	ContParamIndex1	ContValue1_1	ContValue1_2	ContValue1_3	ContValue1_4	ContValue1_5	ContValue1_6	ContValue1_7	ContParamCode2	ContParamIndex2	ContValue2_1	ContValue2_2	ContValue2_3	ContValue2_4	ContValue2_5	ContValue2_6	ContValue2_7	ContParamCode3	ContParamIndex3	ContValue3_1	ContValue3_2	ContValue3_3	ContValue3_4	ContValue3_5	ContValue3_6	ContValue3_7	ContParamCode4	ContParamIndex4	ContValue4_1	ContValue4_2	ContValue4_3	ContValue4_4	ContValue4_5	ContValue4_6	ContValue4_7	ContParamCode5	ContParamIndex5	ContValue5_1	ContValue5_2	ContValue5_3	ContValue5_4	ContValue5_5	ContValue5_6	ContValue5_7	ContEffSec1	ContEffSec2	ContEffSec3	ContEffSec4	ContEffSec5	ContEffSec6	ContEffSec7	EffectClass	
8000	0	1	0	ґЩЕ©	Dark	Бешенство	Exertion	0	1	1	001100	01000	100000000000	-1	0000000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	1	9	-100	-120	-150	-180	-210	-250	-300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
8001	0	2	0	ґЩЕ©	Dark	Жертвоприношение	Sacrifice	0	1	1	001100	01000	100000000000	-1	0000000000000000	0	-1	-1	60	0	0	-1	-1	-1	-1	-1	-1	2000	0	-1	-1	-1	0	-1	8	-1	165	-1	0	0	0,100000001	0,119999997	0,150000006	0,180000007	0,209999993	0,25	0,300000012	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	6	
8002	0	3	0	ґЩЕ©	Dark	Источник Силы	Approaching	0	1	1	001100	01000	100000000000	-1	0000000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	1	13	-100	-200	-400	-700	-1100	-1600	-2200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
8003	0	4	1	µҐѕІ	Death	Мощь	Mighty	1	1	1	001100	01000	100000000000	0	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	0	4	0,100000001	0,119999997	0,150000006	0,180000007	0,209999993	0,25	0,300000012	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
8004	0	5	1	µҐѕІ	Death	Обозрение	Broad Outlook	1	1	1	001100	01000	100000000000	0	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	1	8	50	50	50	50	50	50	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
8005	0	6	1	µҐѕІ	Death	Ускорение	Increase Speed(Dark)	1	1	1	001100	01000	100000000000	0	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	1	20	1	1,100000024	1,200000048	1,399999976	1,600000024	1,799999952	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
8006	0	7	2	АНЅєЖГјЗ	Extinction	Точность	Celerity	2	1	1	001100	01000	100000000000	1	0000000000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	1	0	10	12	15	18	21	25	30	1	1	10	12	15	18	21	25	30	1	30	10	12	15	18	21	25	30	1	31	10	12	15	18	21	25	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
8007	0	8	2	АНЅєЖГјЗ	Extinction	Пытка	Hell Bless	2	1	1	001100	00110	100000000000	1	0000000000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	18000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	0	0	1	32	-100	-100	-100	-100	-100	-100	-100	1	33	-100	-100	-100	-100	-100	-100	-100	1	34	-100	-100	-100	-100	-100	-100	-100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	36	45	54	63	75	90	6	
8008	0	9	2	АНЅєЖГјЗ	Extinction	Практичность	Effective Consume(Dark)	2	1	1	001100	01000	100000000000	1	0000000000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	0	7	-0,050000001	-0,100000001	-0,150000006	-0,200000003	-0,25	-0,300000012	-0,349999994	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
