string[64]	dword	dword	dword	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	string[64]	string[64]	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	string[8]	dword	string[8]	dword	string[8]	dword	float	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	long	string[64]	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	dword	dword	float	float	float	float	dword	END
Code	Class	Icon	MastIndex	MastKorName	MastEngName	KorName	EngName	Lv	IsActive	IsEnable	UsableRace	ActableDst	GradeLimit	NeedMastIndex	FixWeapon	IsFixShield	SpecialType	NeedSpecialType	NeedHP	NeedFP	NeedSP	NeedItemCode1	NeedItemCount1	NeedItemCode2	NeedItemCount2	NeedItemCode3	NeedItemCount3	ActDealy	IsCumulType	CumulCounter	NewEffCOunt	EffectCode	Attackable	AttType1	AttType2	AttType3	AttType4	AttType5	AttType6	AttType7	AttConstant1	AttConstant2	AttConstant3	AttConstant4	AttConstant5	AttConstant6	AttConstant7	AttFormulaConstant	AttNeedBt	BonusDistance	RangeEffCode	TempEffectType	TempParamCode	TempValue1	TempValue2	TempValue3	TempValue4	TempValue5	TempValue6	TempValue7	ContEffectType	EffLimType	EffLimType2	ContAreaType	ContParamCode1	ContParamIndex1	ContValue1_1	ContValue1_2	ContValue1_3	ContValue1_4	ContValue1_5	ContValue1_6	ContValue1_7	ContParamCode2	ContParamIndex2	ContValue2_1	ContValue2_2	ContValue2_3	ContValue2_4	ContValue2_5	ContValue2_6	ContValue2_7	ContParamCode3	ContParamIndex3	ContValue3_1	ContValue3_2	ContValue3_3	ContValue3_4	ContValue3_5	ContValue3_6	ContValue3_7	ContParamCode4	ContParamIndex4	ContValue4_1	ContValue4_2	ContValue4_3	ContValue4_4	ContValue4_5	ContValue4_6	ContValue4_7	ContParamCode5	ContParamIndex5	ContValue5_1	ContValue5_2	ContValue5_3	ContValue5_4	ContValue5_5	ContValue5_6	ContValue5_7	ContEffSec1	ContEffSec2	ContEffSec3	ContEffSec4	ContEffSec5	ContEffSec6	ContEffSec7	Etc	1_2speed	1_2distance	2_3speed	2_3distance	EffectClass	
A0000	0	1	0	№Рё® ЅєДГ·Ї	Melee Scholar	Смертельная атака	Shining Cut	0	1	1	111110	00110	100000000000	-1	1110100000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	6000	1	2	788	788	1	0	0	0	1	1	1	2	788	788	788	788	788	788	788	1,25	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	1	1	5	1	7,5	11	
A0001	0	2	0	№Рё® ЅєДГ·Ї	Melee Scholar	Ветер Войны	Blow	0	1	1	111110	00110	100000000000	-1	1011000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	6000	1	2	788	788	1	0	0	0	1	1	1	2	788	788	788	788	788	788	788	1,25	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	2	1	5	1	7,5	11	
A0002	0	3	0	№Рё® ЅєДГ·Ї	Melee Scholar	Мощный выпад	Prick	0	1	1	111110	00110	100000000000	-1	0100100000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	6000	1	2	788	788	1	0	0	0	1	1	1	2	788	788	788	788	788	788	788	1,25	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	3	1	5	1	7,5	11	
AF000	0	4	0	№Рё® ЅєДГ·Ї	Melee Scholar	Ярость	Wild Rage	0	1	1	111110	10000	100000000000	-1	0000000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	0	0	0,100000001	0,119999997	0,150000006	0,180000007	0,209999993	0,25	0,300000012	0	2	0,100000001	0,119999997	0,150000006	0,180000007	0,209999993	0,25	0,300000012	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
AF001	0	5	0	№Рё® ЅєДГ·Ї	Melee Scholar	Сосредоточенность	Accurate	0	1	1	111110	10000	100000000000	-1	0000000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	1	0	10	12	15	18	21	25	30	1	30	10	12	15	18	21	25	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
AF002	0	6	0	№Рё® ЅєДГ·Ї	Melee Scholar	Ожесточение	Extending	0	1	1	111110	10000	100000000000	-1	0000000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	1	4	5	10	15	20	25	30	50	1	6	5	10	15	20	25	30	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
A0003	0	7	1	№Рё® АНЅєЖЫЖ®	Melee Expert	Бешенный удар	Death Blow	1	1	1	111110	00110	100000000000	0	1111100000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	12000	1	4	788	788	1	4	4	4	4	4	4	4	788	788	788	788	788	788	788	1,5625	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	4	0	0	0	0	5	
A0004	0	8	1	№Рё® АНЅєЖЫЖ®	Melee Expert	Рассекание	Clout Chop	1	1	1	111110	00110	100000000000	0	1111100000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	12000	1	5	788	788	1	5	5	5	5	5	5	5	788	788	788	788	788	788	788	1,5625	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	5	0	0	0	0	4	
A0005	0	9	1	№Рё® АНЅєЖЫЖ®	Melee Expert	Сила гнева	Death Hack	1	1	1	111110	00110	100000000000	0	1111100000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	12000	1	2	788	788	1	0	0	0	1	1	1	2	788	788	788	788	788	788	788	1,5625	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	6	1	5	1	7,5	11	
