xeh	dword	byte	byte	byte	byte	string[32]	string[32]	string[32]	string[32]	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	dword	stb	byte	stb	byte	stb16	word	dword	dword	dword	dword	dword	byte	byte	word	word	word	float	float	string[512]	byte	byte	word	dword	dword	dword	xeh	stb12	xeh	byte	byte	byte	byte	hex	hex	hex	byte	byte	byte	byte	dword	dword	float	float	dword	float	float	END
Code	Icon	Class	IsActive	MastIndex	Lv	MastEngName	MastKorName	EngName	Name	Unk1	Unk2	Unk3	Unk4	Unk5	Unk6	Unk7	Unk8	Unk9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unk1	Unk2	Unk3	Unk4	Unk5	Unk6	Unk7	Unk8	Unk9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unk1	Unk2	Unk3	Unk4	Unk5	Unk6	Unk7	Unk8	Unk9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unk1	Unk2	Unk3	Unk4	Unk5	Unk6	Unk7	Unk8	Unk9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unk1	Unk2	Unk3	Unk4	Unk5	Unk6	Unk7	Unk8	Unk9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unk1	Unk2	Unk3	Unk4	Unk5	Unk6	Unk7	Unk8	Unk9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unk1	Unk2	Unk3	Unk4	Unk5	Unk6	Unk7	Unk8	Unk9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	ContEffSec1	ContEffSec2	ContEffSec3	ContEffSec4	ContEffSec5	ContEffSec6	ContEffSec7	UsableRace	Class	ActableDst	NeedMastIndex	FixWeapon	none	none	none	none	none	IsFixShield	SpecialType	NeedSpecialType	NeedHP	NeedFP	NeedSP	ActDealy	BonusDistance	Description	EffectClass	none	none	IsCumulType	CumulCounter	NewEffCOunt	EffectCode	GradeLimit	RangeEffCode	none	none	none	none	none	none	none	none	none	none	none	AttNeedBt	none	1_2speed	2_3speed	none	1_2distance	2_3distance
1	101	0	1	0	0	-1	-1	0	Снижает защиту противника	2	6	6	6	6	6	6	6	0	0	0	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	20000	20000	20000	20000	20000	20000	000010	1	00110	-1	1111111111111111	0	0	0	0	0	0	-1	-1	0	0	0	0	0	Снижает защиту противника	6	0	0	0	-1	-1	-1	100000000000	-1	0	0	0	0	00000000	00000000	00000000	0	0	0	0	1	0	-1	-1	0	-1	-1
2	102	0	1	0	0	-1	-1	0	Уменьшает шанс критического удар	2	14	14	14	14	14	14	14	1	0	0	-20	-20	-20	-20	-20	-20	-20	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	20000	20000	20000	20000	20000	20000	000010	1	00110	-1	1111111111111111	0	0	0	0	0	0	-1	-1	0	0	0	0	0	Уменьшает шанс критического удара	6	0	0	0	-1	-1	-1	100000000000	-1	0	0	0	0	00000000	00000000	00000000	0	0	0	0	1	0	-1	-1	0	-1	-1
3	103	0	1	0	0	-1	-1	0	Снижает меткость	2	0	0	0	0	0	0	0	1	0	0	-30	-30	-30	-30	-30	-30	-30	2	1	1	1	1	1	1	1	1	0	0	-30	-30	-30	-30	-30	-30	-30	2	2	2	2	2	2	2	2	1	0	0	-30	-30	-30	-30	-30	-30	-30	2	30	30	30	30	30	30	30	1	0	0	-30	-30	-30	-30	-30	-30	-30	2	31	31	31	31	31	31	31	1	0	0	-30	-30	-30	-30	-30	-30	-30	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	20000	20000	20000	20000	20000	20000	000010	1	00110	-1	1111111111111111	0	0	0	0	0	0	-1	-1	0	0	0	0	0	Снижает меткость	6	0	0	0	-1	-1	-1	100000000000	-1	0	0	0	0	00000000	00000000	00000000	0	0	0	0	1	0	-1	-1	0	-1	-1
4	104	0	1	0	0	-1	-1	0	Отменяет действующие положительн	1	8	8	8	8	8	8	8	1	0	0	1	1	1	1	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	20000	20000	20000	20000	20000	20000	000010	1	00100	-1	1111111111111111	0	0	0	0	0	0	-1	-1	0	0	0	0	0	Отменяет действующие положительные Силы	6	0	0	0	-1	-1	-1	100000000000	-1	0	0	0	0	00000000	00000000	00000000	0	0	0	0	1	0	-1	-1	0	-1	-1
5	105	0	1	0	0	-1	-1	0	Запрещает использование атакующи	2	4	4	4	4	4	4	4	2	0	0	1	1	1	1	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	20000	20000	20000	20000	20000	20000	000010	1	00110	-1	1111111111111111	0	0	0	0	0	0	-1	-1	0	0	0	0	0	Запрещает использование атакующих Сил	6	0	0	0	-1	-1	-1	100000000000	-1	0	0	0	0	00000000	00000000	00000000	0	0	0	0	1	0	-1	-1	0	-1	-1
6	106	0	1	0	0	-1	-1	0	Оглушает противника на некоторое	0	0	0	0	0	0	0	0	0	0	0	788	788	788	788	788	788	788	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	20000	20000	20000	20000	20000	20000	000010	1	00110	-1	1111111111111111	0	0	0	0	0	0	-1	-1	0	0	0	0	0	Оглушает противника на некоторое время	6	0	0	0	-1	-1	-1	100000000000	-1	0	0	0	0	00000000	00000000	00000000	0	0	0	0	1	0	-1	-1	0	-1	-1
7	107	0	1	0	0	-1	-1	0	Снижает силу атаки противника	2	0	0	0	0	0	0	0	0	0	0	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	2	1	1	1	1	1	1	1	0	0	0	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	2	2	2	2	2	2	2	2	0	0	0	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	2	3	3	3	3	3	3	3	0	0	0	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	2	4	4	4	4	4	4	4	0	0	0	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	20000	20000	20000	20000	20000	20000	000010	1	00110	-1	1111111111111111	0	0	0	0	0	0	-1	-1	0	0	0	0	0	Снижает силу атаки противника	6	0	0	0	-1	-1	-1	100000000000	-1	0	0	0	0	00000000	00000000	00000000	0	0	0	0	1	0	-1	-1	0	-1	-1
8	108	0	1	0	0	-1	-1	0	Блокирует восстановление SP	1	24	24	24	24	24	24	24	0	0	0	0,100000001	0,100000001	0,100000001	0,100000001	0,100000001	0,100000001	0,100000001	2	17	17	17	17	17	17	17	2	0	0	1	1	1	1	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	20000	20000	20000	20000	20000	20000	000010	1	00100	-1	1111111111111111	0	0	0	0	0	0	-1	-1	0	0	0	0	0	Блокирует восстановление SP	6	0	0	0	-1	-1	-1	100000000000	-1	0	0	0	0	00000000	00000000	00000000	0	0	0	0	1	0	-1	-1	0	-1	-1
9	109	0	1	0	0	-1	-1	0	Замедляет передвижение противник	2	20	20	20	20	20	20	20	1	0	0	-2	-2	-2	-2	-2	-2	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	20000	20000	20000	20000	20000	20000	000010	1	00110	-1	1111111111111111	0	0	0	0	0	0	-1	-1	0	0	0	0	0	Замедляет передвижение противника	6	0	0	0	-1	-1	-1	100000000000	-1	0	0	0	0	00000000	00000000	00000000	0	0	0	0	1	0	-1	-1	0	-1	-1
A	110	0	1	0	0	-1	-1	0	Придает защите обратный эффект	2	19	19	19	19	19	19	19	2	0	0	1	1	1	1	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	20000	20000	20000	20000	20000	20000	000010	1	00110	-1	1111111111111111	0	0	0	0	0	0	-1	-1	0	0	0	0	0	Придает защите обратный эффект	6	0	0	0	-1	-1	-1	100000000000	-1	0	0	0	0	00000000	00000000	00000000	0	0	0	0	1	0	-1	-1	0	-1	-1
