xeh	dword	byte	byte	byte	byte	string[32]	string[32]	string[32]	string[32]	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	dword	stb	byte	stb	byte	stb16	word	dword	dword	dword	dword	dword	byte	byte	word	word	word	float	float	string[512]	byte	byte	word	dword	dword	dword	xeh	stb12	xeh	byte	byte	byte	byte	hex	hex	hex	byte	byte	byte	byte	byte	byte	word	END
Code	Icon	Class	IsActive	MastIndex	Lv	MastEngName	MastKorName	EngName	Name	Unk1	Unk2	Unk3	Unk4	Unk5	Unk6	Unk7	Unk8	Unk9	none	none	unit1	unit2	unit3	unit4	unit5	unit6	unit7	Hz1	Hz2	Hz3	Hz4	Hz5	Hz6	Hz7	Hz8	Hz9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	HZ1	HZ2	HZ3	HZ4	HZ5	HZ6	HZ7	HZ8	HZ9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	HZ1	HZ2	HZ3	HZ4	HZ5	HZ6	HZ7	HZ8	HZ9	none	none	unit1	unit2	unit3	unit4	unit5	unit6	unit7	HZ1	HZ2	HZ3	HZ4	HZ5	HZ6	HZ7	HZ8	HZ9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	HZ1	HZ2	HZ3	HZ4	HZ5	HZ6	HZ7	HZ8	HZ9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	HZ1	HZ2	HZ3	HZ4	HZ5	HZ6	HZ7	HZ8	HZ9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	ContEffSec1	ContEffSec2	ContEffSec3	ContEffSec4	ContEffSec5	ContEffSec6	ContEffSec7	UsableRace	Class	ActableDst	NeedMastIndex	FixWeapon	none	none	none	none	none	IsFixShield	SpecialType	NeedSpecialType	NeedHP	NeedFP	NeedSP	ActDealy	ActDistance	Description	EffectClass	none	none	IsCumulType	CumulCounter	NewEffCOunt	EffectCode	GradeLimit	RangeEffCode	none	none	none	none	none	none	none	none	none	none	none	Property	none	none
8000	1	0	1	0	0	Dark	ґЩЕ©	Exertion	Бешенство	3	9	9	9	9	9	9	9	1	0	0	-100	-120	-150	-180	-210	-250	-300	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	001100	2	01000	-1	0000000000000000	0	0	0	0	0	0	-1	-1	0	30	0	1000	165	Увеличивает скорость атаки в рукопашном бою	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
8001	2	0	1	0	0	Dark	ґЩЕ©	Sacrifice	Жертвоприношение	1	0	0	0	0	0	0	0	0	0	0	0,100000001	0,119999997	0,150000006	0,180000007	0,209999993	0,25	0,300000012	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	001100	2	01000	-1	0000000000000000	0	0	0	0	0	0	-1	-1	60	0	0	2000	165	Преобразует HP в FP	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
8002	3	0	1	0	0	Dark	ґЩЕ©	Approaching	Источник Силы	3	13	13	13	13	13	13	13	1	0	0	-100	-200	-400	-700	-1100	-1600	-2200	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	001100	2	01000	-1	0000000000000000	0	0	0	0	0	0	-1	-1	0	30	0	1000	165	Уменьшает время, затрачиваемое на восстановление Сил	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
8003	4	0	1	1	1	Death	µҐѕІ	Mighty	Мощь	3	4	4	4	4	4	4	4	0	0	0	0,100000001	0,119999997	0,150000006	0,180000007	0,209999993	0,25	0,300000012	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	001100	2	01000	0	0000000000000000	0	0	0	0	0	0	-1	-1	0	60	0	1000	165	Увеличивает атаку магической Силой	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
8004	5	0	1	1	1	Death	µҐѕІ	Broad Outlook	Обозрение	3	8	8	8	8	8	8	8	1	0	0	50	50	50	50	50	50	50	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	001100	2	01000	0	0000000000000000	0	0	0	0	0	0	-1	-1	0	60	0	1000	165	Увеличивает радиус действия магической Силы	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
8005	6	0	1	1	1	Death	µҐѕІ	Increase Speed(Dark)	Ускорение	3	20	20	20	20	20	20	20	1	0	0	1	1,100000024	1,200000048	1,399999976	1,600000024	1,799999952	2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	001100	2	01000	0	0000000000000000	0	0	0	0	0	0	-1	-1	0	60	0	1000	165	Увеличивает скорость передвижения	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
8006	7	0	1	2	2	Extinction	АНЅєЖГјЗ	Celerity	Точность	3	0	0	0	0	0	0	0	1	0	0	10	12	15	18	21	25	30	3	1	1	1	1	1	1	1	1	0	0	10	12	15	18	21	25	30	3	30	30	30	30	30	30	30	1	0	0	10	12	15	18	21	25	30	3	31	31	31	31	31	31	31	1	0	0	10	12	15	18	21	25	30	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	001100	2	01000	1	0000000000000000	0	0	0	0	0	0	-1	-1	0	90	0	1000	165	Увеличивает точность атак	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
8007	8	0	1	2	2	Extinction	АНЅєЖГјЗ	Hell Bless	Пытка	2	32	32	32	32	32	32	32	1	0	0	-100	-100	-100	-100	-100	-100	-100	2	33	33	33	33	33	33	33	1	0	0	-100	-100	-100	-100	-100	-100	-100	2	34	34	34	34	34	34	34	1	0	0	-100	-100	-100	-100	-100	-100	-100	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	36000	45000	54000	63000	75000	90000	001100	2	00110	1	0000000000000000	0	0	0	0	0	0	-1	-1	0	90	0	18000	165	Постепенно отнимает НР/FP/SP выбранной цели	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
8008	9	0	1	2	2	Extinction	АНЅєЖГјЗ	Effective Consume(Dark)	Практичность	3	7	7	7	7	7	7	7	0	0	0	-0,050000001	-0,100000001	-0,150000006	-0,200000003	-0,25	-0,300000012	-0,349999994	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	001100	2	01000	1	0000000000000000	0	0	0	0	0	0	-1	-1	0	90	0	1000	165	Уменьшает затраты FP на использование Сил и Умений	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
8009	10	0	1	3	3	Hell	Зп	Absorption	Поглощение	3	13	13	13	13	13	13	13	0	0	0	0,200000003	0,300000012	0,400000006	0,5	0,600000024	0,699999988	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	001100	2	01000	2	0000000000000000	0	0	0	0	0	0	-1	-1	0	120	0	1000	165	Преобразует урон, наносимый противнику, в FP атакующего	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
