string[32]	string[512]	END
Code	Description	
1	Снижает защиту противника	
2	Уменьшает шанс критического удара	
3	Снижает меткость	
4	Отменяет действующие положительные Силы	
5	Запрещает использование атакующих Сил	
6	Оглушает противника на некоторое время	
7	Снижает силу атаки противника	
8	Блокирует восстановление SP	
9	Замедляет передвижение противника	
A	Придает защите обратный эффект	
B	Блокирует восстановление FP	
C	Оглушает и блокирует восстановление FP	
D	Ослепляет противника	
E	Обездвиживает противника	
F	Блокирует восстановление FP	
10	Запрещает использование любых атакующих Сил	
11	Голиаф	
12	Баллиста	
13	Лечебный Эффект	
14	Восстанавливающий Эффект	
15	Вы весь в снегу	
16	Вы стали снеговиком	
17	Последствия ядерной атаки	
18	Уровень атаки снизился	
19	Уровень точности снизился	
1A	Вы обездвижены и уровень восстановления снижен	
1B	Вы не можете использовать свои умения	
1C	Уровень восстановления зелий снижен	
1D	Вы не можете передвигаться	
1E	Вы не можете увернуться	
1F	Уровень защиты снижен	
20	Скорость перемещения низка	
21	Функции FP,SP отключены	
22	Вы не можете использовать свои умения	
23	Ваши движения ограничены	
24	Снижен уровень увертливости	
25	Вы не можете поставить блок	
26	Снижен уровень меткости	
27	Низкий уровень иммунитета	
