string[32]	string[512]	END
Code	Description	
7F018	Увеличивает атакующие способности ближнего боя	
7F019	_	
7F01A	_	
7F01B	Увеличивает защитную способность. Используется со щитом	
7F01C	Провоцирует монстра на атаку. [Значительно уменьшает агрессивность монстров]	
7F01D	_	
7001E	Пробивающий двойной удар	
7F01F	Уменьшает скорость передвижения цели	
7F020	Вынуждает противников делать ошибки при атаках, что позволяет наносить сокрушительные ответные удары	
70021	Создает локальное землетрясение [доступно при использовании молотов	
7F022	Поглощает SP цели	
7F023	На некоторое время поднимает уровень владения оружием, что позволяет атакам персонажа всегда попадать в цель	
7F024	Временно увеличивает шанс блока щитом, защиту и количество получаемого опыта.	
7F025	Поглощает HP цели	
7F026	Провоцирует монстров на атаку. [Увеличение агрессивности монстров до высокого уровня]	
7F002	Временно увеличивает скорость передвижения.	
70008	Наносит цели волну мощных ударов.	
7F029	_	
7F02A	_	
7F02B	_	
7F02C	_	
7F02D	_	
7F02E	_	
7F02F	_	
7F030	_	
7F031	_	
7F032	_	
7F033	_	
7F034	_	
7F035	_	
7F036	_	
7F037	_	
7F038	_	
7F039	_	
7F03A	_	
7F03B	_	
7F03C	_	
7F03D	_	
7F03E	_	
7F03F	_	
7F040	_	
7F041	_	
8F042	Позволяет видеть уязвимые места противника, что повышает шанс нанесения критического удара	
8F043	Временно увеличивает атаку и защиту персонажа	
8F044	_	
8F045	Временно увеличивает показатель защиты и регенерацию HP и FP	
8F046	Восстанавливает HP, высасывая жизненные силы из окружающих врагов	
8F047	Провоцирует монстров на атаку. [Значительное уменьшение агрессивности монстров]	
80048	Мощнейшая круговая атака	
8F049	Максимальное увеличение скорости перемещения	
8F04A	Увеличивает силу и точность атак	
8F04B	Уменьшает время, затрачиваемое на восстановление Умений	
8F04C	Уменьшает силу атаки цели	
8F04A	_	
8F04E	Временно увеличивает шанс блока щитом, защиту и количество получаемого опыта.	
8F04F	Переключает внимание монстра на персонажа [Увеличение агрессивности монстров до высокого уровня]	
8F002	Временно увеличивает скорость передвижения.	
80008	Наносит цели волну мощных ударов.	
8F052	_	
8F053	_	
8F054	_	
8F055	_	
8F056	_	
8F057	_	
8F058	_	
8F059	_	
8F05A	_	
8F05B	_	
8F05C	_	
8F05D	_	
8F05E	_	
8F05F	_	
8F060	_	
8F061	_	
8F062	_	
8F063	_	
8F064	_	
8F065	_	
8F066	_	
8F067	_	
8F068	_	
8F069	_	
8F06A	_	
8F06B	_	
4006C	Серия деформирующих ударов, шокирующая противника	
4F06D	Создает энергетическую матрицу, востанавливающую HP и FP персонажа	
4F06E	_	
4F06F	При использовании щита увеличивается показатель защиты и шанс блокировки атак	
4F070	Увеличивает отклик сервоприводов, позволяя достичь максимальной скорости атаки	
4F071	Вызывает у монстра бешенство и заставляет атаковать. [Значительное уменьшение агрессивности монстров]	
4F072	Оставляет глубокую рану, противник в течение некоторого времени теряет HP	
4F073	Пойманный в сеть противник лишается возможности двигаться	
4F074	Заряжает руки магнитным полем, увеличивая точность и силу атак	
4F075	Увеличивает силу атак до максимума	
4F076	Увеличивает эффективность защиты	
4F074	Заряжает руки магнитным полем, увеличивая точность и силу атак	
4F078	Элементальная защита	
4F079	Увеличивает эффект восстановления HP при использовании зелий восстановления и количество получаемого опыта.	
4F07A	Привлекает внимание монстра. [Увеличение агрессивности монстров до высокого уровня]	
4F002	Временно увеличивает скорость передвижения.	
40008	Наносит цели волну мощных ударов.	
4F07D	_	
4F07E	_	
4F07F	_	
4F080	_	
4F081	_	
4F082	_	
4F083	_	
4F084	_	
4F085	_	
4F086	_	
4F087	_	
4F088	_	
4F089	_	
4F08A	_	
4F08B	_	
4F08C	_	
4F08D	_	
4F08E	_	
4F08F	_	
4F090	_	
4F091	_	
4F092	_	
4F093	_	
4F094	_	
4F095	_	
7F096	Увеличивает дальность и точность дистанционных атак	
7F097	_	
7F098	_	
7F099	Временно делает персонажа невидимым для врагов, увеличивая точность атак. [До минимума снижает агрессивность монстра]	
7F09A	Позволяет устанавливать ловушки	
7F09B	Позволяет обнаруживать ловушки	
71099	Шквальный огонь на подавление противника. Используется со стрелковым оружием.	
7F09D	Уменьшает время, затрачиваемое на восстановление Умений	
7F09B	Позволяет обнаруживать ловушки	
7F09F	Нейтрализует действия всех примененных к персонажу Сил и Умений	
7F0A0	Уменьшает максимальное количество FP и увеличивает стоимость использования Сил и Умений цели	
7F0A1	Моментальная фокусировка на быстром перемещении, снижающая скорость атак и параметр уклонения. [Значительное уменьшение агрессивности монстров]	
700A2	Мощный удар концентрированной силы в незащищенное место противника. Необходимо быть невидимым.	
7F0A3	Пассивное умение. Позволяет устанавливать максимальное количество ловушек.	
7F0A4	_	
7100C	Увеличивает точность и наносит оглушающий удар противнику.	
7F0A6	_	
7F0A7	_	
7F0A8	_	
7F0A9	_	
7F0AA	_	
7F0AB	_	
7F0AC	_	
7F0AD	_	
7F0AE	_	
7F0AF	_	
7F0B0	_	
