string[32]	string[512]	END
Code	Description	
8000	Увеличивает скорость атаки в рукопашном бою	
8001	Преобразует HP в FP	
8002	Уменьшает время, затрачиваемое на восстановление Сил	
8003	Увеличивает атаку магической Силой	
8004	Увеличивает радиус действия магической Силы	
8005	Увеличивает скорость передвижения	
8006	Увеличивает точность атак	
8007	Постепенно отнимает НР/FP/SP выбранной цели	
8008	Уменьшает затраты FP на использование Сил и Умений	
8009	Преобразует урон, наносимый противнику, в FP атакующего	
800A	Делает невидимым	
800B	Оживляет павших союзников из расы применяющего Силу	
7100	Увеличивает длительность воздействия Светлых Сил	
7101	Восстанавливает SP объекта	
7102	Увеличивает скорость восстановления HP/FP объекта	
7103	Увеличивает сопротивляемость объекта к элементам стихий	
7104	Восстанавливает НP объекта	
7105	Увеличивает скорость передвижения	
7106	Увеличивает способность объекта уклоняться от ударов	
7107	Увеличивает защиту объекта	
7108	Уменьшает затраты FP на использование Сил и Умений	
7109	Преобразует урон, наносимый противнику, в FP атакующего	
710A	Увеличивает способность объекта уклоняться от ударов	
710B	Восстанавливает HP/FP объекта до максимума	
9200	Поражает цель мощным лучом	
9201	Массовое поражение огненной атакой	
9202	Атакует цели огненным шаром	
9203	Атакует цель световым лучом	
9204	Поражает цель стрелой огня	
9205	Поражает всех противников попавших в огненный круг	
9206	Поражает цели волной огня	
9207	Атакует цели множеством световых лучей	
9208	Атакует цель дождем из огненных шаров	
9209	Массовое поражение взрывающимися огненными клинками	
920A	Массовое поражение огненным копьем	
920B	Массовое поражение метеоритным дождем	
920C	Поражает цель священным пламенем	
920D	Раскаленная магма вырывается из под ног цели, повреждая всех противников в округе	
920E	Атакует цель и окружающих врагов несущей смерть Огненной Птицей	
920F	Атакует цель вспышкой ослепительного света	
9300	Атакует цель осколком льда	
9301	Потоки извергающейся воды поражают цель и всех врагов находящихся рядом с ней	
9302	На время ослепляет цель	
9303	Уменьшает защиту цели	
9304	Атакует цель Ледяной стрелой	
9305	Атакует цели мощным ледяным клинком	
9306	Уменьшает сопротивляемость объекта к элементальным атакам	
9307	Уменьшает мощь атаки и Сил объекта	
9308	Атакует цель множеством ледяных шаров	
9309	Атакует цели множеством ледяных шипов	
930A	Уменьшает способность цели к уклонению от атак	
930B	Уменьшает скорость атак объекта	
930C	Атакует цель паровым взрывом	
930D	Атакует цель ледяной метелью	
930E	Уменьшает HP и FP объекта	
930F	Уменьшает способность объекта атаковать	
9400	Атакует цель мощным ударом Силы Земли	
9401	Массовое поражение земляным ядовитым газом	
9402	Не позволяет объекту использовать Положительные Силы	
9403	Не позволяет объекту использовать Отрицательные Силы	
9404	Атакует цель сокрушительным осколком скалы	
9405	Массовое поражение грибным ядом	
9406	Не позволяет объекту использовать Положительные Умения	
9407	Лишает объект способности бегать	
9408	Отравляет цель волной токсичного яда	
9409	Атакует цели мощной песчаной бурей	
940A	Не позволяет объекту использовать атакующие Умения	
940B	Не позволяет объекту использовать атакующие Силы	
940C	Заражает цель вирусом	
940D	Бьет по цели разрушительной каменной лавиной	
940E	Уменьшает скорость восстановления HP/FP/SP объекта	
940F	Обездвиживает объект	
9500	Атакует цель мощным электрическим разрядом	
9501	Массовое поражение бушующим ураганом	
9502	Нейтрализует эффект последнего примененного к объекту Положительного Умения	
9503	Нейтрализует эффект последней примененной к объекту Положительной Силы	
9504	Поражает цель молнией	
9505	Массовое поражение рассекающим потоком воздуха	
9506	Нейтрализует эффект всех примененных к объекту Отрицательных Сил и Умений.	
9507	Позволяет видеть невидимых врагов	
9508	Атакует цель мощным порывом штормового ветра	
9509	Массовое поражение цепной молнией	
950A	Нейтрализует эффект всех Положительных Умений, примененных к объекту	
950B	Нейтрализует эффект всех Положительных Сил, примененных к объекту	
950C	Поражает цель гравитационным полем	
950D	Атакует цель электрическими разрядами	
950E	Нейтрализует эффект всех примененных к объекту Положительных Умений и Сил	
950F	Нейтрализует эффект всех примененных к объекту Отрицательных Умений и Сил	
