string[32]	string[512]	END
Code	Description	
1	Восстанавливает HP	
2	Восстанавливает HP	
3	Восстанавливает HP	
4	Восстанавливает HP	
5	Восстанавливает HP	
6	Восстанавливает HP	
7	Восстанавливает HP	
8	Восстанавливает HP	
9	Восстанавливает HP	
A	Восстанавливает HP	
B	Восстанавливает HP	
C	Восстанавливает HP	
D	Восстанавливает HP	
E	Восстанавливает HP	
F	Восстанавливает HP	
10	Восстанавливает HP	
11	Восстанавливает HP	
12	Восстанавливает HP	
13	Восстанавливает HP	
14	Восстанавливает HP	
15	Восстанавливает HP	
16	Восстанавливает HP	
17	Восстанавливает HP	
18	Восстанавливает HP	
19	Восстанавливает FP	
1A	Восстанавливает FP	
1B	Восстанавливает FP	
1C	Восстанавливает FP	
1D	Восстанавливает FP	
1E	Восстанавливает FP	
1F	Восстанавливает FP	
20	Восстанавливает FP	
21	Восстанавливает FP	
22	Восстанавливает FP	
23	Восстанавливает FP	
24	Восстанавливает FP	
25	Восстанавливает FP	
26	Восстанавливает FP	
27	Восстанавливает FP	
28	Восстанавливает FP	
29	Восстанавливает FP	
2A	Восстанавливает FP	
2B	Восстанавливает FP	
2C	Восстанавливает FP	
2D	Восстанавливает FP	
2E	Восстанавливает FP	
2F	Восстанавливает FP	
30	Восстанавливает FP	
31	Восстанавливает SP	
32	Восстанавливает SP	
33	Восстанавливает SP	
34	Восстанавливает SP	
35	Восстанавливает SP	
36	Восстанавливает SP	
37	Восстанавливает SP	
38	Восстанавливает SP	
39	Восстанавливает SP	
3A	Восстанавливает SP	
3B	Восстанавливает SP	
3C	Восстанавливает SP	
3D	Увеличивает атаку на 20%	
3E	Увеличивает атаку на 20%	
3F	Увеличивает атаку на 20%	
40	Восстанавливает HP	
41	Восстанавливает HP	
42	Восстанавливает HP	
43	Восстанавливает FP	
44	Восстанавливает FP	
45	Восстанавливает FP	
46	Восстанавливает SP	
47	Восстанавливает SP	
48	Восстанавливает SP	
49	Уменьшает время воздействия отрицательных сил	
4A	Уменьшает время воздействия отрицательных сил	
4B	Уменьшает время воздействия отрицательных сил	
4C	Восстанавливает HP	
4D	Восстанавливает HP	
4E	Восстанавливает HP	
4F	Восстанавливает HP	
50	Восстанавливает HP	
51	Восстанавливает HP	
52	Восстанавливает HP	
53	Восстанавливает HP	
54	Восстанавливает HP	
55	Восстанавливает HP	
56	Восстанавливает HP	
57	Восстанавливает HP	
58	Восстанавливает HP	
59	Восстанавливает HP	
5A	Восстанавливает HP	
5B	Восстанавливает HP	
5C	Восстанавливает HP	
5D	Восстанавливает HP	
5E	Восстанавливает HP	
5F	Восстанавливает HP	
60	Восстанавливает HP	
61	Восстанавливает HP	
62	Восстанавливает HP	
63	Восстанавливает HP	
64	Увеличивает HP	
65	Увеличивает HP	
66	Увеличивает HP	
67	Увеличивает HP	
68	Увеличивает HP	
69	Увеличивает HP	
6A	Увеличивает атаку на 20%	
6B	Увеличивает атаку на 20%	
6C	Увеличивает атаку на 20%	
6D	Увеличивает HP	
6E	Увеличивает HP	
6F	Увеличивает HP	
70	Увеличивает атаку на 50%	
71	Увеличивает атаку на 50%	
72	Увеличивает атаку на 50%	
73	Увеличивает защиту на 50%	
74	Увеличивает защиту на 50%	
75	Увеличивает защиту на 50%	
76	Увеличивает Точность	
77	Увеличивает Точность	
78	Увеличивает Точность	
79	Увеличивает атаку на 20%	
7A	Увеличивает HP	
7B	Увеличивает HP	
7C	Увеличивает HP	
7D	Увеличивает HP	
7E	Увеличивает HP	
7F	Увеличивает HP	
80	Увеличивает HP	
81	Усиливает Атаку	
82	Усиливает Защиту	
83	Увеличивает Точность	
84	Увеличивает Точность	
85	Увеличивает Точность	
86	Увеличивает HP	
87	Увеличивает HP	
88	Усиливает Атаку	
89	Усиливает Защиту	
8A	Увеличивает Точность	
8B	Восстанавливает HP	
8C	Восстанавливает HP	
8D	Восстанавливает HP	
8E	Восстанавливает HP	
8F	Восстанавливает HP	
90	Восстанавливает HP	
91	Восстанавливает HP	
92	Восстанавливает HP	
93	Восстанавливает HP	
94	Вводит персонажа в состояние Хаоса	
95	Вводит персонажа в состояние Хаоса	
96	Вводит персонажа в состояние Хаоса	
97	Выводит персонажа из состояния Хаоса	
98	Выводит персонажа из состояния Хаоса	
99	Выводит персонажа из состояния Хаоса	
9A	Увеличивает защиту на 20%	
9B	Увеличивает защиту на 20%	
9C	Увеличивает защиту на 20%	
9D	Увеличивает атаку на 40%	
9E	Увеличивает атаку на 40%	
9F	Увеличивает атаку на 40%	
A0	Увеличивает защиту на 40%	
A1	Увеличивает защиту на 40%	
A2	Увеличивает защиту на 40%	
A3	Восстанавливает HP	
A4	Восстанавливает HP	
A5	Восстанавливает HP	
A6	Увеличивает атаку на 55%	
A7	Увеличивает атаку на 55%	
A8	Увеличивает атаку на 55%	
A9	Увеличивает защиту на 55%	
AA	Увеличивает защиту на 55%	
AB	Увеличивает защиту на 55%	
AC	Увеличивает Точность	
AD	Увеличивает Точность	
AE	Увеличивает Точность	
AF	Восстанавливает HP	
B0	Восстанавливает HP	
B1	Восстанавливает HP	
B2	Восстанавливает HP	
B3	Восстанавливает HP	
B4	Восстанавливает HP	
B5	Увеличивает атаку и защиту на 35%	
B6	Увеличивает атаку и защиту на 35%	
B7	Увеличивает атаку и защиту на 35%	
B8	Увеличивает шанс критической атаки	
B9	Увеличивает шанс критической атаки	
BA	Увеличивает шанс критической атаки	
BB	Увеличивает максимальные HP	
BC	Увеличивает максимальные HP	
BD	Увеличивает максимальные HP	
BE	Уменьшает время задержки использования умений	
BF	Уменьшает время задержки использования умений	
C0	Уменьшает время задержки использования умений	
C1	Делает невидимым	
C2	Делает невидимым	
C3	Делает невидимым	
C4	Увеличивает Уворот	
C5	Увеличивает Уворот	
C6	Увеличивает Уворот	
C7	Уменьшает время воздействия отрицательных сил	
C8	Уменьшает время воздействия отрицательных сил	
C9	Уменьшает время воздействия отрицательных сил	
CA	Уменьшает время воздействия отрицательных сил	
CB	Уменьшает время воздействия отрицательных сил	
CC	Уменьшает время воздействия отрицательных сил	
CD	Увеличивает cилу атаки и шанс критической атаки	
CE	Увеличивает cилу атаки и шанс критической атаки	
CF	Увеличивает cилу атаки и шанс критической атаки	
D0	Увеличивает максимальные HP и Защиту	
D1	Увеличивает максимальные HP и Защиту	
D2	Увеличивает максимальные HP и Защиту	
D3	Увеличивает Атаку, уменьшает время задержки использования умений	
D4	Увеличивает Атаку, уменьшает время задержки использования умений	
D5	Увеличивает Атаку, уменьшает время задержки использования умений	
D6	Увеличивает Точность и Атаку	
D7	Увеличивает Точность и Атаку	
D8	Увеличивает Точность и Атаку	
D9	Увеличивает максимальные HP и Защиту	
DA	Увеличивает максимальные HP и Защиту	
DB	Увеличивает максимальные HP и Защиту	
DC	Увеличивает Атаку и Точность, уменьшает время задержки использования умений	
DD	Увеличивает Атаку и Точность, уменьшает время задержки использования умений	
DE	Увеличивает Атаку и Точность, уменьшает время задержки использования умений	
DF	Увеличивает Атаку, Точность и Уворот.	
E0	Увеличивает Атаку, Точность и Уворот.	
E1	Увеличивает Атаку, Точность и Уворот.	
E2	Увеличивает Атаку, Защиту и Точность.	
E3	Увеличивает Атаку, Защиту и Точность.	
E4	Увеличивает Атаку, Защиту и Точность.	
E5	Увеличивает Атаку, Защиту и Точность, уменьшает время задержки использования умений.	
E6	Увеличивает Атаку, Защиту и Точность, уменьшает время задержки использования умений.	
E7	Увеличивает Атаку, Защиту и Точность, уменьшает время задержки использования умений.	
E8	Увеличивает Атаку Уворот и Точность, уменьшает время задержки использования умений.	
E9	Увеличивает Атаку Уворот и Точность, уменьшает время задержки использования умений.	
EA	Увеличивает Атаку Уворот и Точность, уменьшает время задержки использования умений.	
EB	Восстанавливает HP	
EC	Восстанавливает HP	
ED	Восстанавливает HP	
EF	Дает возможность получить печать лисы	
F0	Увеличивает максимальные HP	
F1	Отменяет специализацию	
F2	Увеличивает атаку на 23%	
F3	Увеличивает атаку на 23%	
F4	Увеличивает атаку на 23%	
F5	Увеличивает защиту на 23%	
F6	Увеличивает защиту на 23%	
F7	Увеличивает защиту на 23%	
F8	HP уменьшаются каждые 2 секунды	
F9	Увеличивает атаку на 70%	
FA	Ограничивает движение	
FB	Снимает эффект ядерного взрыва	
FC	Уменьшает время воздействия отрицательных сил	
FD	Восстанавливает FP	
FE	Восстанавливает FP	
FF	Восстанавливает FP	
100	Восстанавливает FP	
101	Восстанавливает FP	
102	Восстанавливает FP	
103	Восстанавливает FP	
104	Восстанавливает FP	
105	Восстанавливает FP	
106	Восстанавливает FP	
107	Восстанавливает FP	
108	Восстанавливает FP	
109	Восстанавливает FP	
10A	Восстанавливает FP	
10B	Восстанавливает FP	
10C	Восстанавливает FP	
10D	Восстанавливает FP	
10E	Восстанавливает FP	
10F	Восстанавливает FP	
