string[32]	string[512]	END
Code	Description	
A0000	Серия быстрых ударов	
A0001	Серия рубящих атак	
A0002	Серия колющих выпадов	
AF000	Увеличивает атаку в ближнем бою	
AF001	Увеличивает точность атаки в ближнем бою	
AF002	Увеличивает радиус атаки ближнего боя	
A0003	Мощный удар по большой площади	
A0004	Мощный секущий удар	
A0005	Серия яростных атак	
AF003	Увеличивает продолжительность действия Положительных Умений	
AF004	Дает возможность нанести контр-удар атакующему вас противнику	
AF005	Уменьшает шанс блокировки ударов противником	
A0006	Атака по площади во вращении	
A0007	Комбинация сокрушительной атаки и прыжка	
A0008	Атака шокирующая противника	
AF006	Увеличение шанса критического удара в ближнем бою	
AF007	Отменяет все эффекты наложенных Сил и Умений	
FF008	На некоторое время оглушает противника	
A0009	Помимо выбранной цели атакует всех врагов поблизости	
A000A	Увеличивает показатель атаки текущего оружия	
A000B	Молниеносная атака	
AF009	Атака, разбрасывающая окружающих врагов	
AF00A	Уменьшает защиту противника	
AF00B	При оглушении противника наносится критический удар	
A100C	Два выстрела производящихся один за другим	
FF00D	none	
FF00E	none	
AF00C	Уменьшает время перезарядки оружия	
AF00D	Увеличивает точность дистанционной атаки	
FF00E	none	
A100F	Мощный выстрел поражающий нескольких расположенных рядом противников	
A1010	Медленный но очень точный выстрел	
FF011	none	
AF00F	Увеличивает радиус дистанционной атаки	
AF010	Повышает навык уклонения от атак противника	
FF011	none	
A1012	Хладнокровная одиночная атака, требующая особой концентрации сил	
A1013	Многократный выстрел по большой площади	
FF014	none	
AF012	Увеличивает шанс критической атаки дистанционного оружия	
FF013	На некоторое время показывает скрытых врагов	
FF014	none	
FF015	none	
FF016	none	
FF017	none	
AF015	Позволяет становиться невидимым для врагов	
FF016	none	
FF017	none	
AF1F2	Используя антигравитационные силы, увеличивает скорость перемещения персонажа. Для применения необходим плащ	
AF1F7	Специальная возможность Офицера Поддержки. Увеличивает силу атаки и защиту союзников на 20%.	
AF1F8	Специальная возможность Офицера Поддержки. Увеличивает силу атаки и защиту союзников на 20%.	
AF1F9	Специальная возможность Офицера Поддержки. Увеличивает HP и FP союзников на 20%.	
AF1FA	Специальная возможность Офицера Поддержки. Увеличивает HP и FP союзников на 20%.	
AF1FB	Специальная возможность Офицера Поддержки. Увеличивает силу атаки и защиту союзников на 20%.	
AF1FC	Специальная возможность Офицера Поддержки. Увеличивает силу атаки и защиту союзников на 20%.	
AF1FD	Специальная возможность Офицера Поддержки. Увеличивает HP и FP союзников на 20%.	
AF1FE	Специальная возможность Офицера Поддержки. Увеличивает HP и FP союзников на 20%.	
AF1FF	Специальная возможность Офицера Поддержки. Увеличивает силу атаки и защиту союзников на 20%.	
AF200	Специальная возможность Офицера Поддержки. Увеличивает силу атаки и защиту союзников на 20%.	
AF201	Специальная возможность Офицера Поддержки. Увеличивает HP и FP союзников на 20%.	
AF202	Специальная возможность Офицера Поддержки. Увеличивает HP и FP союзников на 20%.	
AF1F3	Эффект, действующий на тех, кто получил духовное считывающее устройство и выиграл в войне. Увеличивает силу атаки и защиту.	
AF1F4	Эффект, действующий на тех, кто не получил духовное считывающее устройство но выиграл войну. Увеличивает только силу атаки.	
AF1F5	Эффект действующий на тех, кто не смог уничтожить терминал противника. Уменьшает защиту.	
AF1F6	Эффект, действующий на тех, кто проиграл войну. Уменьшает силу атаки и защиты.	
AF203	Специальная возможность Офицера Поддержки. Увеличивает силу атаки и защиту союзников на 20%.	
AF204	Специальная возможность Офицера Поддержки. Увеличивает силу атаки и защиту союзников на 20%.	
AF205	Специальная возможность Офицера Поддержки. Увеличивает HP союзников на 20%.	
AF206	Специальная возможность Офицера Поддержки. Увеличивает HP союзников на 20%.	
AF207	Специальная возможность Офицера Поддержки. Увеличивает силу атаки и защиту союзников на 20%.	
AF208	Специальная возможность Офицера Поддержки. Увеличивает силу атаки и защиту союзников на 20%.	
AF209	Специальная возможность Офицера Поддержки. Увеличивает HP союзников на 20%.	
AF210	Специальная возможность Офицера Поддержки. Увеличивает HP союзников на 20%.	
AF211	Специальная возможность Офицера Поддержки. Увеличивает силу атаки и защиту союзников на 20%.	
AF212	Специальная возможность Офицера Поддержки. Увеличивает силу атаки и защиту союзников на 20%.	
AF213	Специальная возможность Офицера Поддержки. Увеличивает HP союзников на 20%.	
AF214	Специальная возможность Офицера Поддержки. Увеличивает HP союзников на 20%.	
