string[64]	string[64]	dword	dword	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	dword	float	float	dword	dword	string[64]	dword	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	END
Code	strName[64]	nRace	bWarType	fTarDecType	fLevel	fExt	fAttFcStd	fMinAFSelProb	fMaxAFSelProb	fAttSklUnit	fDefSklUnit	fWeakPart	fStdDefFc	fFireTol	fWaterTol	fSoilTol	fWindTol	fAttTechID1	fAttTech1UseProb	fAttTechID2	fAttTech2UseProb	fAttTechID3	fAttTech3UseProb	fAttTechMinAFProb	fAttTechMinAF	fAttTechMaxAFProb	fAttTechMaxAF	fPSecTechID	fMSecTechID	fMaxHP	fHPRecDelay	fHPRecUnit	fAttSpd	fAttMoTime1	fAttMoTime2	fViewExt	fAttExt	fMRefExt	fCopTime	fMovSpd	fWarMovSpd	fScaleRate	bScaleChange	fWidth	fWaitTime	nAsitReqRate	nAsitAptRate	strChildMon[64]	nChildMonNum	fEmoType	fDamHPStd	fEmoImpStdTime	fGoodToOrdHPPer	fOrdToBadHPPer	fBadToWorseHPPer	fEspTFProb	fTypeCompTerms	fPSecTechChat	fPAttTechChat	fEmo0Chat	fEmo0ChatProb	fEmo1Chat	fEmo1ChatProb	fEmo2Chat	fEmo2ChatProb	fEmo3Chat	fEmo3ChatProb	fEmo4Chat	fEmo4ChatProb	fAsitReqSteEspChat	fAsitReqSteEspChatProb	fAsitReqSteHelpChat	fAsitReqSteHelpChatProb	fAsitReqSteCopChat	fAsitReqSteCopChatProb	
03000	Оружейник	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03001	Оружейник	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03002	Оружейник	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03010	Алхимик	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03011	Алхимик	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03012	Алхимик	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03020	Кузнец	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03021	Торговец Броней	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03022	Кузнец	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
