string[32]	string[32]	text	END
NPCMapName	NPCName	Desc	
Оружейник	Зеленоглаз	Эй, ты тут новенький? Если тебе нужно оружие, здесь ты найдешь лучшее! Посмотри сам, убедись!	
Оружейник	Маер Бейн	Эй, ты тут новенький? Если тебе нужно оружие, здесь ты найдешь лучшее! Посмотри сам, убедись!	
Оружейник	Сейвел Айлан	Добро пожаловать в мою лавку. Как видишь, у меня есть оружие, которое невозможно найти в Генеральном штабе, так что приходи, когда тебе понадобится что-нибудь действительно хорошее. Ха-ха!	
Алхимик	Эль Луна	Нет ничего лучше, чем пoдходящее зелье в нужный момент! У меня есть зелья для восстановления здоровья HP, жизненной энергии SP и даже магической силы FP. Удостоверься в том, что ты купил все, что тебе надо!	
Алхимик	Кармили	Нет ничего лучше, чем пoдходящее зелье в нужный момент! У меня есть зелья для восстановления здоровья HP, жизненной энергии SP и даже магической силы FP. Удостоверься в том, что ты купил все, что тебе надо!	
Алхимик	Тайа Айлани	Микстуры расходятся как горячие пирожки! У меня много товара, какого ты не найдешь в Генеральном штабе, так что будь уверен, что ты купил все, что хочешь перед отъездом.	
Кузнец	Монси	Ты же не можешь сражаться без доспехов, правильно? У меня есть только стартовые доспехи, но и они сослужат тебе добрую службу, если ты начинающий!	
Торговец Броней	Джэйден	Я имею дело только с особыми предметами. Слишком дорого? Можешь не покупать, мне все равно.	
Кузнец	Юрикэ	Я слышал, в Генеральном штабе продают только ширпотребные доспехи низкого качества, но к счастью для тебя, у меня есть высококачественный товар. Если ты когда-нибудь раздобудешь Коритские или Акретианские доспехи, принеси их мне, и я щедро заплачу тебе за них.	
Поставщик MAU	Амаен Шер	Лишь благодаря нашим MAU мы можем противостоять Коритам и Акретианам! Я - единственный авторизованный дилер MAU в округе, так что подходи ко мне, если тебе что-то нужно, хорошо?	
Кладовщик	Тавра	У меня для тебя выгодное предложение! Принеси любую руду, которую найдешь. Я заплачу тебе за нее или обработаю так, что ты сможешь изготовлять или модернизировать свое оружие. Поверь мне, руда всегда пригодится!	
Торговец	Джуна	Это единственное место в округе, где ты можешь найти карты, вещмешки, и даже варповые врата, так что возможно ты еще много раз ко мне заглянешь.	
Банкир	Таетар	Тебе нужно поменять валюту? Валютный курс меняется каждые 24 часа, поэтому для начала проверь его, а потом реши, сколько тебе нужно.	
Командующий	Эль-Данн Танта	Приветствую, защитник славы Федерации! Мне предоставлена честь осуществлять продвижения в Классах. Федерация гордится тем, что в рядах нашей армии служит множество великолепных солдат, но не каждый из них достоин повышения в ранге. Рапортуй мне, когда будешь готов и когда будешь достоин переместиться выше по карьерной лестнице.	
Наставник	Онакаэн	Я продаю Силовые Маяки, и всегда рад выручить таких новичков, как ты. Только помни, что ты должен оснастить Маяком свое окно Сил перед его использованием.	
Поставщик MAU	Айен Вентир	Единственный шанс выстоять против Коритов и Акретиан это использовать MAU. Я являюсь единственным поставщиком MAU, так что обращайся ко мне, если тебе будет что-нибудь нужно. Так же твое MAU будет у меня, если ты ее оставишь где-нибудь.	
Кладовщик	Брук	У меня для тебя выгодное предложение! Принеси любую руду, которую найдешь. Я заплачу тебе за нее или обработаю так, что ты сможешь изготовлять или модернизировать свое оружие. Поверь мне, руда всегда пригодится!	
Торговец	Калуса	Это единственное место в округе, где ты можешь найти карты, вещмешки, и даже варповые врата, так что возможно ты еще много раз ко мне заглянешь.	
Банкир	Ламек Мойс	Тебе нужно поменять валюту? Валютный курс меняется каждые 24 часа, поэтому для начала проверь его, а потом реши, сколько тебе нужно.	
Аукцион	Торг-терминал	Вас приветствует аукционный терминал. Здесь вы сможете купить или продать любой предмет, выставив его на продажу. Также в продаже имеются 'Одноразовые оповещения аукциона', не забывайте их приобретать - они серьезно экономят ваше время.	
Аукцион	Торг-терминал	Вас приветствует аукционный терминал. Здесь вы сможете купить или продать любой предмет, выставив его на продажу. Также в продаже имеются 'Одноразовые оповещения аукциона', не забывайте их приобретать - они серьезно экономят ваше время.	
Аукцион	Торг-терминал	Вас приветствует аукционный терминал. Здесь вы сможете купить или продать любой предмет, выставив его на продажу. Также в продаже имеются 'Одноразовые оповещения аукциона', не забывайте их приобретать - они серьезно экономят ваше время.	
Аукцион	Торг-терминал	Вас приветствует аукционный терминал. Здесь вы сможете купить или продать любой предмет, выставив его на продажу. Также в продаже имеются 'Одноразовые оповещения аукциона', не забывайте их приобретать - они серьезно экономят ваше время.	
Торговец	Айша Мирав	Это единственное место в округе, где ты можешь найти карты, вещмешки, и даже варповые врата, так что возможно ты еще много раз ко мне заглянешь.	
Клерк	Резо Гайхан	Надеюсь ты пришел по вопросу связанному с гильдиями? Да, именно так, я уполномочен Би Хаммером решать все вопросы связанные с деятельностью гильдий. Создание и продвижение, ранги гильдий - все это ты можешь устроить и посмотреть через мой терминал. Выбери, что тебе нужно.	
Билетер	Мили	Добро пожаловать! Я продаю билеты на челноки корпорации Картела! Мы с удовольствием доставим вас куда пожелаете! 	
Оружейник	Джейрэ Клаген	Я - торговец стартовым оружием. Да хранит тебя проведение Дайсема, и добро пожаловать в мою лавку!	
Оружейник	Гайол Лоуг	Я - торговец стартовым оружием. Да хранит тебя проведение Дайсема, и добро пожаловать в мою лавку!	
Оружейник	Вайнан Лир	Тебе определенно нужно оружие получше. И ты пришел по правильному адресу. Мой товар во много раз превосходит все то, что ты когда-нибудь видел. Почему бы тебе не взглянуть на него и не убедиться самому? 	
Алхимик	Фейр	Привет, я торгую HP, FP и SP зельями. Если ты отправляешься в долгое путешествие, я советую тебе запастись ими.	
Алхимик	Скинпаск	Привет, я торгую HP, FP и SP зельями. Если ты отправляешься в долгое путешествие, я советую тебе запастись ими.	
Алхимик	Эона Эдэн	Ищешь микстуру? У меня есть зелья, освященные самими жрецами Дайсема специально для Коритов. Они помогут восстановить здоровье, силы и жизненную энергию.	
Торговец Броней	Ноа Деи	Эти предметы дорогого мне стоили. Прибыль будет только при такой цене.	
Кузнец	Эли Идэс	Не верится, что мы встретились, но едва ли это что-то значит, так как на все воля Дайсема. Я кую оружие для Священного Альянса. Мой товар довольно прост, но доступен по цене, поэтому приходи ко мне, если у тебя возникнут проблемы с деньгами.	
Кузнец	Инова Кайн	Мои доспехи лучше, чем то, что ты можешь найти в Генеральном штабе. Хочешь качественные вещи - покупай у меня!	
Кладовщик	Майно	Да благоденствует и процветает наш Священный Альянс! Я с радостью заплачу тебе за руду или обработаю ее за скромное вознаграждение. Я также предлагаю буровые установки и батарейки, уверен, ты знаешь как их использовать.	
Торговец	Сандри	Привет! У меня есть все, что нужно настоящему воину или охотнику, все от торб, до комплектов инструментов.	
Банкир	Джеймер	Привет, я могу обменять твою платину на дизену или дизену на платину. Но помни, что курс меняется каждые 24 часа, поэтому не забудь проверить экономические показатели перед обменом.	
Командующий	Квайнэ Хан	Я благословлена привилегией принимать решения о продвижении в Классах. Если ты чувствуешь, что Дайсем достаточно благоволит тебе, предстань передо мной и я проверю, заслужил ли ты продвижения. Да позволит Дайсем стать тебе мечом в деснице его и нести в этот мир волю его!	
Наставник	Мелид	Да благословит тебя Дайсем! Я торгую маяками Сил и Анимусов. Как ты знаешь, именно Кориты - эксперты в использовании Темных Сил.	
Кладовщик	Гадес	Да благоденствует и процветает наш Священный Альянс! Я с радостью заплачу тебе за руду или обработаю ее за скромное вознаграждение. Также я предлагаю буровые установки и батарейки, уверен, ты знаешь как их использовать.	
Торговец	Муни	Привет! У меня есть все, что нужно настоящему воину или охотнику, все от торб, до комплектов инструментов.	
Банкир	Рир	Привет, я могу обменять твою платину на дизену или дизену на платину. Но помни, что курс меняется каждые 24 часа, поэтому не забудь проверить экономические показатели перед обменом.	
Аукцион	Торг-терминал	Вас приветствует аукционный терминал. Здесь вы сможете купить или продать любой предмет, выставив его на продажу. Также в продаже имеются 'Одноразовые оповещения аукциона', не забывайте их приобретать - они серьезно экономят ваше время.	
Аукцион	Торг-терминал	Вас приветствует аукционный терминал. Здесь вы сможете купить или продать любой предмет, выставив его на продажу. Также в продаже имеются 'Одноразовые оповещения аукциона', не забывайте их приобретать - они серьезно экономят ваше время.	
Аукцион	Торг-терминал	Вас приветствует аукционный терминал. Здесь вы сможете купить или продать любой предмет, выставив его на продажу. Также в продаже имеются 'Одноразовые оповещения аукциона', не забывайте их приобретать - они серьезно экономят ваше время.	
Торговец	Мейвон Вейн	Привет! У меня есть все, что нужно настоящему воину или охотнику, все от торб, до комплектов инструментов.	
Клерк	Аякс	О Дайсем, наполняющий мир священной благодатью! Да пребудет с тобой мир и гормония нашего Бога, посетитель! Я - Грегориус, Синодом мне переданы все полномочия, касающиеся гильдий. Если у тебя возникли проблемы с другой гильдией или если ты хочешь создать собственную гильдию, пожалуйста, обращайся ко мне.	
Билетер	Митти	Добро пожаловать! Я продаю билеты на челноки корпорации Картела! Мы с удовольствием доставим вас куда пожелаете!	
Оружейник	NC-2901	Этот терминал предназначен для продажи Имперского вооружения. Здесь можно найти оружие для всех классов, включая гранатометы и пусковые установки.	
Поставщик Территории Войны	NC-3589A	Вас приглашают в новый поход. Ключ необходим для создания ворот территории войны.	
Оружейник	NC-27801B	Добро пожаловать во Фронтовой лагерь. Ассортимент оружия расположенных здесь продавцов-роботов отличается более высоким качеством, чем тот, что есть в наличии в Генеральном штабе.	
Механик	NC-5985	Этот терминал специализируется на реализации Имперских допингов - Восстановителей. Здесь вы сможете найти восстановители - HP, FP, и SP.	
